,shopname,num_comments,point_comments,phone_num,cost,food_type,district_name,location,area,time,service,delivery,takeout,lat,lng
30,Café Henri,698,4 star rating,(718) 729-5794,Medium,French、 Breakfast & Brunch、 Cafes,Hunters Point,1010 50th Ave,Queen,9:00 AM - 11:30 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining,True,True,37.14374,-89.123427
31,Tuk Tuk,700,4 star rating,(718) 472-5598,Medium,Thai,Hunters Point,4906 Vernon Blvd,Queen,3:00 PM - 9:00 PM,Delivery、Takeout、Sit-down dining,True,True,33.737801,-87.252502
32,Enthaice Thai Kitchen,701,4 star rating,(718) 932-1111,Medium,Thai、 Seafood、 Chicken Wings,Astoria,33-20 31st Ave,Queen,12:00 PM - 10:00 PM,Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、Heated outdoor seating、Indoor dining、Curbside pickup,True,True,42.87066,-76.97738
33,BCD Tofu House,704,4 star rating,(718) 224-8889,Medium,Korean,Bayside,220-05 Northern Blvd,Queen,11:00 AM - 9:00 PM,,False,False,33.8153,-94.548302
34,Taste Good Malaysian Cuisine,711,4 star rating,(718) 898-8001,Medium,Malaysian,Elmhurst,82-18 45th Ave,Queen,10:30 AM - 10:00 PM,Delivery、Takeout、Indoor dining,True,True,37.14374,-89.123427
35,Queens Bully,723,3.5 star rating,(718) 520-8600,Medium,Gastropubs、 Cocktail Bars、 Breakfast & Brunch,Forest Hills,113-30 Queens Blvd,Queen,11:00 AM - 12:00 AM (Next day),Outdoor seating、Delivery、Takeout、Covered outdoor seating、Heated outdoor seating,True,True,37.14374,-89.123427
36,Tamashii Ramen,733,4 star rating,(718) 278-5888,Medium,Ramen,Astoria,2905 Broadway,Queen,12:00 PM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining、Curbside pickup,True,True,40.7705,-74.02949
37,Mojave,734,3.5 star rating,(718) 545-4100,Medium,Southern、 Mexican、 Tex-Mex,Astoria,22-36 31st St,Queen,10:00 AM - 11:00 PM,Delivery、Takeout、Sit-down dining,True,True,40.77552,-73.91208
38,Tito Rad’s Grill,740,3.5 star rating,(718) 205-7299,Medium,Barbeque、 Filipino、 Breakfast & Brunch,Woodside,49-10 Queens Blvd,Queen,10:00 AM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining,True,True,33.8153,-94.548302
39,Café 1 of a Kind,742,4.5 star rating,(347) 408-4780,Medium,Desserts、 Coffee & Tea、 Breakfast & Brunch,Douglaston,255-13 Northern Blvd,Queen,9:00 AM - 9:00 PM,,False,False,33.737801,-87.252502
40,Ginger and Lemongrass,805,4 star rating,(347) 732-4720,Medium,Vietnamese、 Thai,Beechurst,1253 150th St,Queen,11:00 AM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining,True,True,40.78925,-73.81369
41,Akino,816,4.5 star rating,(718) 779-8280,Medium,Sushi Bars、 Japanese,Elmhurst,82-80 Broadway,Queen,11:30 AM - 10:30 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup,True,True,42.63035,-75.33188
42,Rincon Criollo,823,4.5 star rating,(718) 639-8158,Medium,Cuban,North Corona,40-09 Junction Blvd,Queen,11:00 AM - 9:00 PM,,False,False,40.7488,-73.86894
43,New Park Pizza,823,4 star rating,(718) 641-3082,Low,Pizza,Lindenwood,15671 Crossbay Blvd,Queen,11:00 AM - 12:00 AM (Next day),Outdoor seating、Delivery、Takeout,True,True,33.737801,-87.252502
44,SHI,825,3.5 star rating,(347) 242-2450,Medium,Asian Fusion、 Sushi Bars、 Japanese,Hunters Point,4720 Center Blvd,Queen,12:45 PM - 9:45 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup,True,True,,
45,Pye Boat Noodle,839,4.5 star rating,(718) 685-2329,Medium,Thai、 Noodles,Astoria,35-13 Broadway,Queen,11:30 AM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining,True,True,,
46,Nick’s Pizza,844,4 star rating,(718) 263-1126,Medium,Pizza、 Salad、 Desserts,Forest Hills,108-26 Ascan Ave,Queen,12:00 PM - 8:00 PM,Delivery、Takeout、Sit-down dining、Indoor dining,True,True,,
47,Avli The Little Greek Tavern,864,4 star rating,(718) 224-7575,Medium,Greek、 Mediterranean、 Wraps,Bayside,38-31 Bell Blvd,Queen,11:30 AM - 9:00 PM,,False,False,,
48,Blend,871,4 star rating,(718) 729-2800,Medium,Latin American,Hunters Point,4704 Vernon Blvd,Queen,11:00 AM - 10:30 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup,True,True,,
49,The Shady Lady,877,4 star rating,(718) 440-9081,Medium,American (New)、 Tapas Bars、 Breakfast & Brunch,Astoria,34-19 30th Ave,Queen,10:00 AM - 1:00 AM (Next day),Delivery、Takeout、Indoor dining,True,True,,
50,Kung Fu Xiao Long Bao,877,4 star rating,(718) 661-2882,Medium,Shanghainese、 Dim Sum、 Cantonese,Queensborough Hill,59-16 Main St,Queen,11:00 AM - 10:00 PM,,False,False,,
51,Nippon Cha,886,4 star rating,(718) 229-0805,Medium,Ramen、 Tea Rooms,Bayside,39-34 Bell Blvd,Queen,11:00 AM - 10:00 PM,,False,False,,
52,The Coop,889,4 star rating,(718) 358-9333,Medium,Korean,Downtown Flushing,133-42 39th Ave,Queen,12:00 PM - 12:00 AM (Next day),Delivery、Takeout、Sit-down dining、Indoor dining,True,True,,
53,Aged Restaurant and Bar,893,3 star rating,(718) 544-2433,Unknown,,Forest Hills,107-02 70th Rd,Queen,12:00 PM - 10:00 PM,Delivery、Takeout,True,True,,
54,HinoMaru Ramen,896,4 star rating,(718) 777-0228,Medium,Ramen、 Soup,Astoria,33-18 Ditmars Blvd,Queen,"12:00 PM - 3:30 PM, 4:30 PM - 10:00 PM",Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、Heated outdoor seating、Indoor dining,True,True,,
55,The Door,900,3.5 star rating,(718) 525-1083,Medium,Caribbean、 Desserts、 Seafood,Rochdale,16307 Baisley Blvd,Queen,8:00 AM - 10:00 PM,Takeout、Indoor dining、Curbside pickup,False,True,,
56,The Alcove,911,5 star rating,(347) 813-4159,Medium,Gastropubs、 Tapas Bars、 Breakfast & Brunch,Woodside,41-11 49th St,Queen,3:00 PM - 11:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining,True,True,,
57,Arepas Cafe,931,4 star rating,(718) 937-3835,Medium,Venezuelan,Astoria,3307 36th Ave,Queen,11:00 AM - 10:00 PM,,False,False,,
58,Ornella Trattoria Italiana,935,4 star rating,(718) 777-9477,Medium,Italian、 Sandwiches、 Chicken Shop,Astoria,29-17 23rd Ave,Queen,12:00 PM - 10:00 PM,,False,False,,
59,Trattoria L’incontro,953,4.5 star rating,(929) 376-5190,High,Italian、 Pizza、 Salad,Astoria,21-76 31st St,Queen,12:30 PM - 9:00 PM,,False,False,,
60,Press 195 - Bayside,957,4 star rating,(718) 281-1950,Medium,Sandwiches、 Bars、 American (Traditional),Bayside,4011 Bell Blvd,Queen,11:30 AM - 8:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining,True,True,,
61,Maiella,964,4 star rating,(718) 606-1770,High,Italian、 Seafood、 Cocktail Bars,Hunters Point,4610 Center Blvd,Queen,4:00 PM - 10:00 PM,Delivery、Takeout、Sit-down dining,True,True,,
62,Cabana,979,4 star rating,(718) 263-3600,Medium,Latin American、 Cuban、 Caribbean,Forest Hills,107-10 70th Rd,Queen,11:30 AM - 11:00 PM,Outdoor seating、Takeout、Sit-down dining,False,True,,
63,Dani’s House of Pizza,1039,3.5 star rating,(718) 846-2849,Low,Pizza、 Italian,Kew Gardens,81-28 Lefferts Blvd,Queen,1:00 PM - 10:00 PM,Delivery、Takeout,True,True,,
64,Sweet Afton,1075,4 star rating,(718) 777-2570,Medium,Pubs、 Gastropubs,Astoria,30-09 34th St,Queen,11:00 AM - 10:00 PM,Delivery、Takeout、Sit-down dining、Indoor dining,True,True,,
65,Asian Jewels Seafood Restaurant,1090,3.5 star rating,(718) 359-8600,Medium,Seafood、 Dim Sum、 Cantonese,Downtown Flushing,13330 39th Ave,Queen,9:00 AM - 9:30 PM,Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、DIY meal kits、Indoor dining、Curbside pickup、Private dining,True,True,,
66,Hashi Ramen & Izakaya,1109,4 star rating,(718) 224-2961,Medium,Ramen、 Sushi Bars,Auburndale,192-12 Northern Blvd,Queen,11:30 AM - 9:30 PM,,False,False,,
67,The Thirsty Koala,1109,4.5 star rating,(718) 626-5430,Medium,Australian、 Cocktail Bars、 Wine Bars,Astoria,35-12 Ditmars Blvd,Queen,2:00 PM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining、Curbside pickup,True,True,,
68,Forest Hills Station House,1130,4 star rating,(718) 544-5000,Medium,Gastropubs、 Cocktail Bars、 Beer Bar,Forest Hills,106-11 71st Ave,Queen,12:00 PM - 10:00 PM,,False,False,,
69,"Sal, Kris, & Charlie’s Deli",1137,4.5 star rating,(718) 278-9240,Low,Delis、 Sandwiches,Astoria,33-12 23rd Ave,Queen,5:00 AM - 3:00 PM,Indoor dining,False,False,,
70,Shanghai You Garden,1138,4 star rating,(718) 886-2286,Medium,Shanghainese、 Dim Sum、 Noodles,Downtown Flushing,135-33 40th Rd,Queen,9:00 AM - 9:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining,True,True,,
71,Hahm Ji Bach,1164,4 star rating,(718) 460-9289,Medium,Korean,Murray Hill,40-11 149th Pl,Queen,10:00 AM - 9:00 PM,Outdoor seating、Delivery、Takeout、Indoor dining,True,True,,
72,Spring Shabu-Shabu,1180,4 star rating,(718) 395-8076,Medium,Buffets、 Hot Pot、 Seafood,Downtown Flushing,136 20 38th Ave,Queen,"11:30 AM - 3:00 PM, 5:00 PM - 9:30 PM",,False,False,,
73,Pio Pio 2,1193,3.5 star rating,(718) 426-4900,Medium,Latin American、 Peruvian,Jackson Heights,84-02 Northern Blvd,Queen,11:00 AM - 11:00 PM,Delivery、Takeout、Curbside pickup,True,True,,
74,Bareburger - Astoria,1226,3.5 star rating,(718) 777-7011,Medium,Burgers、 Salad、 American (New),Astoria,33-21 31st Ave,Queen,12:00 PM - 9:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining,True,True,,
75,Mizumi,1232,3.5 star rating,(718) 229-8686,High,Sushi Bars、 Buffets、 Japanese,Douglaston,231-10 Northern Blvd,Queen,"12:00 PM - 3:00 PM, 5:00 PM - 9:00 PM",Outdoor seating、Indoor dining,False,False,,
76,Ayada Thai,1232,4 star rating,(718) 424-0844,Medium,Thai、 Cocktail Bars,Elmhurst,7708 Woodside Ave,Queen,11:00 AM - 10:30 PM,Outdoor seating、Delivery、Takeout、Sit-down dining,True,True,,
77,Il Bambino,1241,4.5 star rating,(718) 626-0087,Medium,Italian、 Sandwiches、 Tapas Bars,Astoria,34-08 31st Ave,Queen,10:00 AM - 10:00 PM,Delivery、Indoor dining,True,False,,
78,Casa Enrique,1244,4 star rating,(347) 448-6040,Medium,Mexican,Hunters Point,5-48 49th Ave,Queen,"11:00 AM - 3:30 PM, 5:00 PM - 11:00 PM",Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining,True,True,,
79,Picnic Garden,1315,3.5 star rating,(718) 358-5959,Medium,Barbeque、 Korean,Murray Hill,154-05 Northern Blvd,Queen,11:30 AM - 12:00 AM (Next day),Indoor dining,False,False,,
80,Seva Indian Cuisine,1257,4.5 star rating,(718) 626-4440,Medium,Indian,Astoria,3007 34th St,Queen,12:00 PM - 10:00 PM,,False,False,,
81,SriPraPhai Thai Restaurant,2383,4 star rating,(718) 899-9599,Medium,Thai,Woodside,64-13 39th Ave,Queen,11:30 AM - 8:00 PM,Outdoor seating、Indoor dining,False,False,,
82,Blend on the Water,3286,4 star rating,(718) 606-9851,Medium,Latin American、 Breakfast & Brunch、 Lounges,Hunters Point,45-40 Center Blvd,Queen,11:00 AM - 10:00 PM,Outdoor seating、Takeout、Sit-down dining、Curbside pickup,False,True,,
83,Murray’s Cheese Bar,799,4 star rating,(347) 990-2130,Medium,Wine Bars、 Cheese Shops、 American (Traditional),Long Island City,28-30 Jackson Ave,Queen,12:00 PM - 8:00 PM,,False,False,,
84,Park Side Restaurant,743,4 star rating,(718) 271-9871,High,Italian,Corona,107-01 Corona Ave,Queen,12:30 PM - 10:00 PM,Delivery、Takeout、Sit-down dining、Indoor dining,True,True,,
85,Ovelia,745,4 star rating,(718) 721-7217,Medium,Greek、 Mediterranean,Astoria,3401 30th Ave,Queen,11:00 AM - 11:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup,True,True,,
86,Bourbon Street,763,3.5 star rating,(718) 224-2200,Medium,Cajun/Creole、 Sports Bars、 Burgers,Bayside,4012 Bell Blvd,Queen,12:00 PM - 11:00 PM,,False,False,,
87,DiWine,768,4 star rating,(718) 777-1355,Medium,American (New),Astoria,41-15 31st Ave,Queen,12:00 PM - 9:00 PM,Delivery,True,False,,
88,The Buffet,769,3 star rating,(718) 886-3722,Medium,Buffets、 Sushi Bars、 Seafood,College Point,20-07 127th St,Queen,"11:30 AM - 3:30 PM, 5:30 PM - 10:00 PM",,False,False,,
89,Mom’s Kitchen & Bar,770,4 star rating,(718) 267-0142,Medium,Bars、 American (Traditional)、 Breakfast & Brunch,Astoria,33-01 31st Ave,Queen,9:30 AM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Heated outdoor seating、Indoor dining、Curbside pickup,True,True,,
90,Kin’d,777,4.5 star rating,(718) 468-0888,Medium,Thai,Fresh Meadows,192-03 Union Tpke,Queen,12:00 PM - 10:00 PM,,False,False,,
91,Kimganae,781,4 star rating,(718) 888-3100,Medium,Korean、 Breakfast & Brunch、 Coffee & Tea,Downtown Flushing,3912 Union St,Queen,9:00 AM - 9:00 PM,Delivery、Takeout、Indoor dining,True,True,,
92,Bareburger - Forest Hills,795,4 star rating,(718) 275-2273,Medium,Burgers、 Salad、 American (New),Forest Hills,71-49 Austin St,Queen,12:00 PM - 9:00 PM,Takeout、Sit-down dining、Indoor dining,False,True,,
93,Oceanic Boil,622,4.5 star rating,(929) 296-6338,Medium,Cajun/Creole、 Seafood、 Bars,Jackson Heights,84-20 37th Ave,Queen,3:00 PM - 11:00 PM,,False,False,,
94,Shake Shack,592,3.5 star rating,(718) 751-4760,Medium,Burgers、 Ice Cream & Frozen Yogurt、 Breakfast & Brunch,JFK Airport,John F Kennedy International Airport,Queen,6:00 AM - 10:00 PM,Takeout、Sit-down dining、Curbside pickup,False,True,,
95,Vite Vinosteria,596,4.5 star rating,(718) 278-8483,Medium,Italian、 Wine Bars,Astoria,31-05 34th St,Queen,4:00 PM - 10:00 PM,,False,False,,
96,Rizzo’s Fine Pizza,612,4 star rating,(718) 721-9862,Low,Pizza,Astoria,3013 Steinway St,Queen,10:30 AM - 11:00 PM,,False,False,,
97,Jackson Diner,613,3.5 star rating,(718) 672-1232,Medium,Indian,Jackson Heights,3747 74th St,Queen,11:00 AM - 10:00 PM,Delivery、Takeout,True,True,,
98,De Mole,618,4 star rating,(718) 392-2161,Medium,Mexican,Sunnyside,4502 48th Ave,Queen,10:00 AM - 11:00 PM,Delivery、Takeout,True,True,,
99,District Saigon,618,4.5 star rating,(718) 956-0007,Medium,Vietnamese、 Cocktail Bars,Astoria,37-15 Broadway,Queen,5:00 PM - 9:30 PM,,False,False,,
100,Slide Bar-B-Q,620,3.5 star rating,(718) 565-0565,Medium,Barbeque、 Comfort Food、 Southern,Maspeth,5275 65th Pl,Queen,4:00 PM - 2:00 AM (Next day),Delivery、Takeout、Covered outdoor seating、Curbside pickup,True,True,,
101,Mamajuana Cafe Queens,549,3 star rating,(718) 565-6454,Medium,Latin American、 Spanish、 Tapas Bars,Woodside,33-15 56th St,Queen,4:00 PM - 11:00 PM,Delivery、Takeout、Sit-down dining,True,True,,
102,Bungalow Bar,522,4 star rating,(718) 945-2100,Medium,American (Traditional)、 Seafood、 Bars,Seaside,377 Beach 92nd St,Queen,11:30 AM - 9:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining,True,True,,
103,Basil Brick Oven Pizza,504,4 star rating,(718) 204-1205,Medium,Pizza、 Italian,Astoria,28-17 Astoria Blvd,Queen,11:00 AM - 11:00 PM,Outdoor seating、Delivery、Takeout,True,True,,
104,El Rey Del Taco Truck,482,4.5 star rating,(347) 459-5732,Low,Food Trucks、 Tacos,Astoria,33-01 30th Ave,Queen,6:00 PM - 2:00 AM (Next day),Delivery、Takeout,True,True,,
105,Aji Sushi House,456,4.5 star rating,(718) 777-8889,Medium,Sushi Bars、 Asian Fusion,Astoria,3606 Ditmars Blvd,Queen,11:00 AM - 11:00 PM,Outdoor seating、Delivery、Takeout、Indoor dining,True,True,,
106,TJ Asian Bistro,441,4.5 star rating,(718) 205-2088,Medium,Japanese、 Sushi Bars,Woodside,50-19 Skillman Ave,Queen,"11:30 AM - 3:00 PM, 4:30 PM - 10:30 PM",Delivery,True,False,,
107,Cheeburger Cheeburger,433,3.5 star rating,(718) 997-8600,Medium,Burgers、 Fast Food,Forest Hills,108-50 Queens Blvd,Queen,11:00 AM - 10:00 PM,Delivery、Takeout,True,True,,
108,Basurero,434,2.5 star rating,(718) 545-7077,Medium,Colombian,Astoria,32-17 Steinway St,Queen,9:00 AM - 12:00 AM (Next day),Delivery,True,False,,
109,Katch Astoria,436,3 star rating,(718) 777-2230,Medium,Bars、 Breakfast & Brunch、 Beer Gardens,Astoria,31-19 Newtown Ave,Queen,5:00 PM - 1:00 AM (Next day),Outdoor seating、Takeout,False,True,,
110,Imperial Palace,437,4 star rating,(718) 939-3501,Medium,Seafood、 Cantonese,Downtown Flushing,13613 37th Ave,Queen,11:00 AM - 10:00 PM,Takeout,False,True,,
111,Blue Bay Diner,437,3 star rating,(718) 225-6333,Medium,Diners,Flushing,5850 Francis Lewis Blvd,Queen,6:00 AM - 12:00 AM (Next day),Delivery,True,False,,
112,Off The Hook Raw Bar & Grill,437,4 star rating,(718) 721-2112,Medium,Seafood、 Cocktail Bars,Astoria,28-08 34th St,Queen,4:00 PM - 11:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining,True,True,,
113,Pho Bac,438,3 star rating,(718) 639-0000,Medium,Vietnamese,Elmhurst,8278 Broadway,Queen,11:00 AM - 9:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining,True,True,,
114,TGI Fridays,439,2.5 star rating,(718) 793-3263,Medium,American (Traditional),Forest Hills,7000 Austin St,Queen,11:00 AM - 1:00 AM (Next day),Outdoor seating、Delivery、Takeout,True,True,,
115,Veggie Castle II,441,4.5 star rating,(718) 641-8342,Medium,Juice Bars & Smoothies、 Vegan、 Salad,Ozone Park,13209 Liberty Ave,Queen,9:30 AM - 10:00 PM,Social distancing enforced,False,False,,
116,Bareburger - Ditmars,444,3.5 star rating,(718) 204-7167,Medium,Burgers、 Sandwiches、 Cocktail Bars,Astoria,23-01 31st St,Queen,12:00 PM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining,True,True,,
117,JJ’s Fusion,446,4 star rating,(718) 626-8888,Medium,Sushi Bars、 Japanese、 Asian Fusion,Astoria,37-05 31st Ave,Queen,12:00 PM - 11:00 PM,Delivery、Takeout,True,True,,
118,Fontana Famous Pizza & Gyro,449,3.5 star rating,(718) 631-0147,Medium,Pizza、 Greek、 Burgers,Bayside,20002 Northern Blvd,Queen,11:00 AM - 10:00 PM,Delivery、Takeout,True,True,,
119,Gaby’s Pizza,450,3.5 star rating,(718) 740-9716,Low,Pizza,Hollis,204-23 Hillside Ave,Queen,11:00 AM - 11:00 PM,Delivery、Takeout、Sit-down dining、Curbside pickup,True,True,,
120,Trattoria 35,451,4 star rating,(718) 352-3800,Medium,Pizza、 Italian,Bayside,213-15 35th Ave,Queen,11:30 AM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining、Curbside pickup,True,True,,
121,Louie’s Pizza,451,4.5 star rating,(718) 440-9346,Low,Italian、 Pizza,Elmhurst,81-34 Baxter Ave,Queen,11:00 AM - 11:00 PM,Delivery、Sit-down dining、Indoor dining,True,False,,
122,Antika,452,3.5 star rating,(718) 545-0555,Medium,Italian、 Pizza,Astoria,36-08 30th Ave,Queen,4:00 PM - 10:00 PM,,False,False,,
