,shopname,num_comments,point_comments,phone_num,cost,food_type,district_name,location,area,time,service,delivery,takeout,lat,lng
44,Kingsbridge Social Club,214,4.5 star rating,(347) 346-5180,Medium,"Pizza、 Sandwiches、 Beer, Wine & Spirits",Kingsbridge,3625 Kingsbridge Ave,Bronx,11:30 AM - 10:00 PM,,False,False,33.8153,-94.548302
45,Portofino Restaurant,217,3.5 star rating,(718) 885-1220,High,Italian、 Seafood,City Island,555 City Island Ave,Bronx,11:30 AM - 11:00 PM,Outdoor seating,False,False,40.85327,-73.79053
46,Michaelangelo’s Little Italy,227,3.5 star rating,(718) 220-8355,Medium,Lounges、 Italian、 Wine Bars,Belmont,2477 Arthur Ave,Bronx,11:00 AM - 9:30 PM,Delivery、Takeout,True,True,37.14374,-89.123427
47,Buffalo Wild Wings,229,2 star rating,(718) 549-9453,Medium,Sports Bars、 American (Traditional)、 Chicken Wings,Kingsbridge,193 W 237th St,Bronx,11:00 AM - 11:00 PM,,False,False,37.14374,-89.123427
48,Outback Steakhouse,152,2.5 star rating,(347) 603-8556,Medium,Steakhouses,Co-op City,270 Baychester Ave,Bronx,11:00 AM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup、In-person visits,True,True,40.84636,-73.78587
49,Gerbasi Ristorante,161,4 star rating,(718) 220-5735,Medium,Italian,Belmont,2389 Arthur Ave,Bronx,11:30 AM - 10:00 PM,Delivery,True,False,33.8153,-94.548302
50,Estrellita Poblana III,162,4 star rating,(718) 220-7641,Medium,Mexican,Belmont,2328 Arthur Ave,Bronx,10:00 AM - 11:00 PM,Delivery、Takeout,True,True,33.737801,-87.252502
51,S&S Cheesecake,184,4.5 star rating,(718) 549-3888,Medium,Desserts、 Bakeries、 Kosher,Kingsbridge,222 W 238th St,Bronx,6:00 AM - 3:00 PM,,False,False,37.14374,-89.123427
52,Jake’s Steakhouse - Bronx,236,4 star rating,(718) 581-0182,High,Steakhouses,Fieldston,6031 Broadway,Bronx,11:30 AM - 10:00 PM,,False,False,32.64833,-97.07702
53,Mike’s Deli Arthur Avenue,236,4 star rating,(718) 295-5033,Medium,Caterers、 Delis、 Pasta Shops,Belmont,2344 Arthur Ave,Bronx,7:00 AM - 6:00 PM,Delivery、Takeout、Curbside pickup,True,True,33.8153,-94.548302
54,Kai Sushi Asian Fusion,246,4 star rating,(718) 863-7900,Medium,Asian Fusion、 Chinese、 Japanese,Westchester Square,1475 Williamsbridge Rd,Bronx,11:00 AM - 10:00 PM,Delivery、Takeout,True,True,33.8153,-94.548302
55,Yo-Burger,247,4 star rating,(718) 708-6828,Medium,Burgers、 Vegetarian,Riverdale,3726 Riverdale Ave,Bronx,11:00 AM - 10:00 PM,Takeout,False,True,33.737801,-87.252502
56,Shangerila Restaurant,251,3 star rating,(718) 828-6080,Medium,Sushi Bars、 Buffets、 Seafood,Pelham Bay,2893 Buhre Ave,Bronx,11:30 AM - 10:00 PM,Delivery、Takeout,True,True,33.8153,-94.548302
57,Roberto’s,260,4 star rating,(718) 733-9503,High,Italian,Belmont,603 Crescent Ave,Bronx,"12:00 PM - 2:30 PM, 5:00 PM - 10:00 PM",Delivery,True,False,33.737801,-87.252502
58,Arties Steak & Seafood,265,4 star rating,(718) 885-9885,Medium,Seafood、 Steakhouses、 Italian,City Island,394 City Island Ave,Bronx,11:30 AM - 10:30 PM,,False,False,40.84963,-73.78708
59,Enzos of Arthur Avenue,272,3.5 star rating,(718) 733-4455,Medium,Italian、 Pizza,Belmont,2339 Arthur Ave,Bronx,11:30 AM - 10:00 PM,Outdoor seating,False,False,33.737801,-87.252502
60,Estrellita Poblana,272,4 star rating,(718) 518-7425,Medium,Mexican,Unionport,2231 Westchester Ave,Bronx,9:00 AM - 12:00 AM (Next day),Delivery、Takeout、Curbside pickup,True,True,40.83447,-73.8509
61,Sabrosura Restaurant,273,3.5 star rating,(718) 597-1344,Medium,Chinese、 Latin American、 Seafood,Unionport,1200 Castle Hill Ave,Bronx,11:30 AM - 8:00 PM,Delivery、Takeout、Curbside pickup,True,True,40.83209,-73.85071
62,Full Moon Pizzeria,286,4 star rating,(718) 584-3451,Low,Pizza、 Italian、 Wraps,Belmont,600 E 187th St,Bronx,11:00 AM - 10:00 PM,Delivery、Takeout、Curbside pickup,True,True,40.85534,-73.88755
63,Salvatores of Soho,294,4 star rating,(718) 548-7499,Medium,Pizza、 Italian,Riverdale,3738 Riverdale Ave,Bronx,11:00 AM - 9:30 PM,Delivery、Takeout,True,True,33.737801,-87.252502
64,Seafood City,296,3 star rating,(718) 885-3600,Medium,Seafood,City Island,459 City Island Ave,Bronx,11:00 AM - 12:00 AM (Next day),Delivery、Takeout、Curbside pickup,True,True,40.8505,-73.78842
65,Crosstown Diner,298,3 star rating,(718) 597-3450,Medium,Diners、 Breakfast & Brunch、 American (Traditional),Schuylerville,2880 Bruckner Blvd,Bronx,6:00 AM - 12:00 AM (Next day),Delivery、Takeout、Curbside pickup,True,True,33.737801,-87.252502
66,Tin Marin,305,4 star rating,(718) 884-4800,Medium,Tapas/Small Plates,Riverdale,3708 Riverdale Ave,Bronx,2:00 PM - 11:00 PM,Outdoor seating、Takeout、Sit-down dining、Curbside pickup,False,True,33.8153,-94.548302
67,Leche Y Miel Restaurant,307,4 star rating,(718) 708-5787,Medium,Comfort Food、 Dominican、 Juice Bars & Smoothies,Kingsbridge,5761 Broadway,Bronx,11:00 AM - 7:00 PM,Delivery、Takeout,True,True,33.8153,-94.548302
68,Beatstro,328,4 star rating,(718) 489-9397,Medium,American (Traditional)、 Speakeasies、 Latin American,Mott Haven,135 Alexander Ave,Bronx,3:00 PM - 10:45 PM,Outdoor seating、Delivery、Takeout、Sit-down dining,True,True,33.737801,-87.252502
69,Jimmy’s Grand Cafe,329,3.5 star rating,(718) 319-1200,Medium,Diners,Castle Hill,1001 Castle Hill Ave,Bronx,7:00 AM - 1:00 AM (Next day),Delivery、Takeout,True,True,37.14374,-89.123427
70,Ceetay,333,4 star rating,(718) 618-7020,Medium,Sushi Bars、 Asian Fusion、 Thai,Mott Haven,129 Alexander Ave,Bronx,11:00 AM - 10:00 PM,Delivery、Takeout,True,True,33.737801,-87.252502
71,Giovanni,342,2.5 star rating,(718) 402-6996,Medium,Italian、 Pizza,Concourse Village,579 Grand Concourse,Bronx,10:00 AM - 12:00 AM (Next day),Delivery、Takeout、Curbside pickup,True,True,40.81942,-73.92723
72,Sea Shore Restaurant & Marina,372,3 star rating,(718) 885-0300,High,Seafood,City Island,591 City Island Ave,Bronx,11:30 AM - 12:00 AM (Next day),Delivery、Takeout、Curbside pickup,True,True,40.85417,-73.7909
73,Ajo & Oregano,405,3.5 star rating,(347) 657-1201,Medium,Dominican,Parkchester,1556 White Plains Rd,Bronx,11:30 AM - 8:00 PM,,False,False,33.8153,-94.548302
74,La Masa,445,4 star rating,(718) 822-8400,Medium,Colombian、 Empanadas,Morris Park,1000 Morris Park Ave,Bronx,8:30 AM - 10:00 PM,Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、Heated outdoor seating,True,True,40.84798,-73.85585
75,Tosca Cafe,464,3 star rating,(718) 239-3300,High,Pizza、 Italian、 Cafes,Throgs Neck,4038 E Tremont Ave,Bronx,11:00 AM - 1:00 AM (Next day),Delivery,True,False,40.81958,-73.81761
76,Bronx Alehouse,815,4 star rating,(718) 601-0204,Medium,American (Traditional)、 Pubs,Kingsbridge,216 W 238th St,Bronx,11:00 AM - 10:00 PM,,False,False,37.14374,-89.123427
77,Antonio’s Trattoria,830,4.5 star rating,(718) 733-6630,Medium,Italian、 Pizza、 Desserts,Belmont,2370 Belmont Ave,Bronx,11:30 AM - 9:00 PM,Delivery、Takeout、Sit-down dining、Indoor dining,True,True,33.737801,-87.252502
78,Joe’s Italian Deli,132,5 star rating,(718) 367-7979,Medium,Delis、 Cheese Shops,Belmont,685 E 187th St,Bronx,8:30 AM - 5:30 PM,,False,False,40.85441,-73.88512
79,Estrellita Poblana II,124,3.5 star rating,(718) 654-7652,Medium,Mexican,Pelham Gardens,2819 White Plains Rd,Bronx,10:00 AM - 12:00 AM (Next day),Delivery、Takeout,True,True,41.02987,-73.75031
80,Tommy’s Pizza,125,4 star rating,(718) 829-2828,Low,Pizza,Edgewater Park,4033 E Tremont Ave,Bronx,10:00 AM - 12:00 AM (Next day),Delivery,True,False,33.737801,-87.252502
81,Sabrosura 2,129,4 star rating,(718) 502-9878,Medium,Spanish、 Chinese,Soundview,1808 Westchester Ave,Bronx,11:30 AM - 10:00 PM,Delivery、Takeout、Curbside pickup,True,True,33.8153,-94.548302
82,Lexa Bar & Garden,129,4 star rating,(929) 243-3300,Medium,Burgers、 Beer Bar、 Pizza,Norwood,357 E 204th St,Bronx,5:00 PM - 1:00 AM (Next day),,False,False,33.737801,-87.252502
83,Seis Vecinos Restaurant,129,3.5 star rating,(718) 684-8604,Medium,Latin American、 Mexican、 Honduran,Longwood,640 Prospect Ave,Bronx,9:00 AM - 12:00 AM (Next day),,False,False,33.737801,-87.252502
84,Don Pancho’s,130,3.5 star rating,(718) 585-5855,Medium,Steakhouses,Mott Haven,43 Bruckner Blvd,Bronx,4:00 PM - 11:00 PM,Delivery、Takeout,True,True,37.14374,-89.123427
85,An Beal Bocht Cafe,132,4 star rating,(718) 884-7127,Medium,Irish、 Pubs,Riverdale,445 W 238th St,Bronx,10:00 AM - 4:00 AM (Next day),Outdoor seating、Takeout、Sit-down dining,False,True,33.8153,-94.548302
86,Brewski’s,116,3.5 star rating,(718) 684-2900,Medium,Bars、 American (New),Schuylerville,3718 E Tremont Ave,Bronx,11:00 AM - 3:00 AM (Next day),Outdoor seating、Delivery、Takeout、Curbside pickup,True,True,40.82646,-73.82228
87,Shanghai Red Asian Latin Bistro,106,3.5 star rating,(718) 684-6262,Medium,Asian Fusion、 Cocktail Bars,Westchester Square,127 Westchester Sq,Bronx,12:00 PM - 9:30 PM,Outdoor seating、Delivery、Takeout、Curbside pickup,True,True,33.737801,-87.252502
88,Santa Fe Grill & Bar,94,3.5 star rating,(718) 796-5095,Medium,Mexican、 Bars,Fieldston,6025 Broadway,Bronx,11:30 AM - 11:00 PM,Delivery、Takeout,True,True,42.93495,-87.87889
89,Madisons Restaurant & Bar,83,3.5 star rating,(718) 543-3850,Medium,Bars、 Italian,North Riverdale,5686 Riverdale Ave,Bronx,11:30 AM - 10:00 PM,Delivery,True,False,33.23611,-87.53808
90,Agra Grill,78,4 star rating,(347) 346-5228,Medium,Indian,Williamsbridge,3835 White Plains Rd,Bronx,11:30 AM - 10:00 PM,Delivery、Takeout,True,True,41.02987,-73.75031
91,Cea-Lo Cafe,79,3.5 star rating,(718) 620-0337,Medium,Soul Food、 Seafood,Soundview,1003 Soundview Ave,Bronx,11:00 AM - 9:00 PM,Takeout,False,True,33.737801,-87.252502
92,The Healthy Kitchen,87,4 star rating,(347) 694-5083,Medium,Salad、 Wraps、 Juice Bars & Smoothies,Morris Park,1135C Morris Park Ave,Bronx,10:00 AM - 9:00 PM,Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、DIY meal kits、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining,True,True,40.85029,-73.8518
93,Ikko Hibachi Sushi Asian Bistro,88,4.5 star rating,(347) 621-5052,Unknown,,Edgewater Park,3938 E Tremont Ave,Bronx,12:30 PM - 10:00 PM,,False,False,33.8153,-94.548302
94,Fratelli,88,4 star rating,(718) 547-2489,Medium,Italian、 Seafood,Pelham Gardens,2507 Eastchester Rd,Bronx,11:30 AM - 9:00 PM,Delivery、Takeout,True,True,33.737801,-87.252502
95,Tokyo House,87,4.5 star rating,(718) 601-6877,Medium,Japanese,North Riverdale,5648 Riverdale Ave,Bronx,11:00 AM - 10:30 PM,Delivery、Takeout,True,True,33.23611,-87.53808
96,Marisco Centro,89,2.5 star rating,(718) 665-8686,Medium,Spanish、 Bars、 Seafood,Concourse Village,610 Exterior St,Bronx,10:00 AM - 12:00 AM (Next day),Delivery、Takeout,True,True,40.82413,-73.92989
97,Fine Food Cuisine,88,4 star rating,(718) 822-1991,Medium,American (New),West Farms,671 Morris Park Ave,Bronx,11:00 AM - 12:00 AM (Next day),Delivery、Takeout、Curbside pickup,True,True,40.84521,-73.86707
98,IHOP,89,2.5 star rating,(718) 860-4467,Medium,Breakfast & Brunch、 American (Traditional)、 Burgers,Claremont Village,961 East 174th St,Bronx,7:00 AM - 6:00 PM,,False,False,40.83675,-73.88534
99,Blue Bay Restaurant,79,2.5 star rating,(718) 884-6476,Medium,Diners、 American (Traditional),Riverdale,3533 Johnson Ave,Bronx,6:00 AM - 10:30 PM,Delivery、Takeout,True,True,33.8153,-94.548302
100,Novelty Eats,79,4 star rating,(718) 684-6180,Medium,Comfort Food、 American (New),Pelham Bay,1765 Crosby Ave,Bronx,11:00 AM - 10:00 PM,Delivery、Takeout,True,True,37.14374,-89.123427
101,Ajo y Oregano,80,3 star rating,(347) 918-9638,Medium,Dominican,Belmont,621 Crescent Ave,Bronx,12:30 PM - 9:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup,True,True,37.14374,-89.123427
102,Tasty Picks,81,4 star rating,(718) 231-2230,Low,Juice Bars & Smoothies、 Salad、 Delis,Norwood,89 East Gunhill Rd,Bronx,Open 24 hours,Delivery、Takeout,True,True,40.88158,-73.87936
103,Boca Restaurant and Lounge,81,3 star rating,(917) 688-1031,Medium,Lounges、 Spanish,Belmont,2458 Webster Ave,Bronx,12:00 PM - 12:00 AM (Next day),Delivery、Takeout,True,True,43.20385,-77.49231
104,Evo Cocktail Lounge & Restaurant,81,3 star rating,(718) 822-9274,Medium,Cocktail Bars、 American (Traditional)、 Latin American,Unionport,1306 Unionport Rd,Bronx,4:00 PM - 1:00 AM (Next day),Delivery、Takeout、Curbside pickup,True,True,40.83406,-73.85338
105,The Last Stop,84,5 star rating,(347) 449-6679,Medium,Bars、 American (Traditional)、 Indian,Kingsbridge,5977 Broadway,Bronx,3:00 PM - 11:15 PM,Delivery,True,False,33.737801,-87.252502
106,Lin’s Asian Cuisine,84,3.5 star rating,(718) 822-6888,Medium,Chinese、 Sushi Bars、 Asian Fusion,Parkchester,1506 Bronxdale Ave,Bronx,11:00 AM - 10:30 PM,Delivery、Takeout,True,True,33.737801,-87.252502
107,Kiraku Sushi,84,3.5 star rating,(718) 379-8866,Medium,Sushi Bars、 Japanese,Morris Park,1948 Williamsbridge Rd,Bronx,11:00 AM - 10:00 PM,,False,False,40.85346,-73.8535
108,Sam’s Soul Food Restaurant Bar & Lounge,84,3.5 star rating,(718) 665-5341,Medium,Soul Food、 Lounges,Concourse Village,596-598 Grand Concourse,Bronx,7:00 AM - 12:00 PM,Delivery、Takeout,True,True,40.81979,-73.92649
109,Pizza Studio,85,4.5 star rating,(718) 215-6820,Low,Pizza,Belmont,444 E. Fordham Rd.,Bronx,11:00 AM - 10:00 PM,Delivery、Takeout,True,True,40.85674,-73.89339
110,Mama Puebla,85,3.5 star rating,(718) 792-6262,Medium,Mexican,Schuylerville,3465 E Tremont Ave,Bronx,11:00 AM - 11:00 PM,Delivery、Takeout,True,True,40.83199,-73.82701
111,ÇKA KA QËLLU,86,4.5 star rating,(718) 933-6194,Medium,Modern European,Belmont,2321 Hughes Ave,Bronx,11:00 AM - 10:00 PM,Delivery、Takeout、Curbside pickup,True,True,33.8153,-94.548302
112,Crosby Pizza Stop,86,4 star rating,(718) 823-8980,Low,Pizza,Pelham Bay,1731 Crosby Ave,Bronx,10:30 AM - 9:00 PM,Delivery、Takeout、Curbside pickup,True,True,33.737801,-87.252502
113,Curry & Kebab,91,4 star rating,(718) 231-5370,Medium,Halal、 Indian,Norwood,3111 Bainbridge Ave,Bronx,11:00 AM - 10:00 PM,Delivery、Takeout,True,True,33.737801,-87.252502
114,Court Deli,92,3.5 star rating,(718) 993-1380,Medium,Delis、 Desserts、 Breakfast & Brunch,Concourse Village,96 E 161st St,Bronx,6:00 AM - 9:00 PM,Delivery、Takeout,True,True,40.82705,-73.92447
115,Riverdale Indian Cuisine,92,4 star rating,(718) 684-6228,Unknown,,Kingsbridge,308 W 231 St,Bronx,11:00 AM - 10:00 PM,Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup,True,True,37.14374,-89.123427
116,Richie Rich Carribean,93,3 star rating,(718) 708-8431,Medium,Caribbean,Baychester,3357 Fish Ave,Bronx,6:00 AM - 5:30 AM (Next day),Delivery、Takeout,True,True,40.87547,-73.84986
117,Arthur Ave Fiasco,93,4.5 star rating,(718) 618-0806,Medium,Italian、 Seafood、 Pizza,Belmont,2376 Arthur Ave,Bronx,"12:00 PM - 3:30 PM, 5:00 PM - 9:00 PM",Outdoor seating、Delivery、Takeout、Sit-down dining,True,True,33.737801,-87.252502
118,Sushi Q Japanese Restaurant,93,3.5 star rating,(718) 822-1627,Medium,Sushi Bars、 Japanese,Country Club,1610 Crosby Ave,Bronx,11:15 AM - 9:45 PM,,False,False,29.92136,-95.09545
119,Domino’s Pizza,93,1 star rating,(718) 537-4700,Low,Pizza、 Chicken Wings、 Sandwiches,Claremont Village,1351 Webster Ave,Bronx,10:00 AM - 2:00 AM (Next day),,False,False,40.83536,-73.90805
120,Molino Rojo Restaurant,95,2.5 star rating,(718) 538-9642,Low,Latin American,Concourse Village,101 E 161st St,Bronx,6:00 AM - 12:00 AM (Next day),Delivery、Takeout,True,True,40.82772,-73.9243
