"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout"
"Lash West Indian And American Cuisine","166","3.5 star rating","(718) 882-0815","Medium","Indian、 Caribbean、 American (Traditional)","Pelham Gardens","800 Burke Ave","Bronx","12:00 AM - 12:00 AM (Next day)",,"false","false"
"Emilio’s of Morris Park","171","4 star rating","(718) 822-6758","Medium","Pizza、 Italian、 Salad","Morris Park","1051 Morris Park Ave","Bronx","11:00 AM - 11:00 PM","Delivery、Takeout","true","true"
"John & Joe’s Pizzeria","172","4 star rating","(718) 409-9776","Low","Pizza","Pelham Gardens","749 Lydig Ave","Bronx","11:00 AM - 12:00 AM (Next day)",,"false","false"
"The Black Whale","173","3.5 star rating","(718) 885-3657","Medium","American (New)、 Diners、 Breakfast & Brunch","City Island","279 City Island Ave","Bronx","10:00 AM - 2:00 PM, 4:00 PM - 9:00 PM","Delivery、Takeout","true","true"
"Pasquale Rigoletto Restaurant","176","3.5 star rating","(718) 365-6644","Medium","Italian、 Venues & Event Spaces、 Caterers","Belmont","2311 Arthur Ave","Bronx","12:00 PM - 9:00 PM","Delivery","true","false"
"DeLillo Pastry Shop","177","3.5 star rating","(718) 367-8198","Medium","Bakeries、 Coffee & Tea、 Desserts","Belmont","606 E 187th St","Bronx","8:00 AM - 9:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"Mexicocina","177","3.5 star rating","(347) 498-1055","Medium","Mexican","Mott Haven","503 Jackson Ave","Bronx","9:00 AM - 11:00 PM",,"false","false"
"Estrellita Poblana IV","178","4 star rating","(718) 239-8290","Medium","Mexican","Westchester Square","45 Westchester Sq","Bronx","6:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"San Gennaro Trattoria Restaurant Bar","178","4 star rating","(718) 562-0129","Medium","Italian、 Mediterranean","Belmont","2329 Arthur Ave","Bronx","11:00 AM - 9:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"Metate","178","3 star rating","(718) 543-4444","Medium","Mexican","Riverdale","3515 Johnson Ave","Bronx","11:00 AM - 11:00 PM","Delivery、Takeout","true","true"
"El Malecon","179","3 star rating","(718) 432-4760","Medium","Latin American、 Caribbean、 Spanish","Kingsbridge","5592 Broadway","Bronx","12:00 PM - 8:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Palace of Japan","180","3.5 star rating","(718) 543-8833","Medium","Japanese、 Bars、 Sushi Bars","Spuyten Duyvil","3505 Johnson Ave","Bronx","12:30 PM - 10:00 PM","Delivery、Takeout","true","true"
"Olive Garden Italian Restaurant","181","2.5 star rating","(718) 931-1045","Medium","Italian、 Salad、 Soup","Co-op City","200 Baychester Ave","Bronx","11:00 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Suyo Gastrofusion","182","4.5 star rating","(718) 537-7896","Medium","Asian Fusion、 Latin American、 Cocktail Bars","High Bridge","1401 Plaza Dr","Bronx","1:00 PM - 11:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、DIY meal kits、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining","true","true"
"Paula’s Soul Cafe","182","3.5 star rating","(718) 655-1022","Medium","Seafood、 Soul Food","Edenwald","746 E 233rd St","Bronx","Open 24 hours","Delivery、Takeout","true","true"
"Casa Della Mozzarella Italian Deli","186","5 star rating","(718) 364-3867","Medium","Delis、 Cheese Shops","Belmont","604 E 187th St","Bronx","7:30 AM - 1:00 PM","Delivery、Takeout","true","true"
"Bella Notte","186","3.5 star rating","(718) 884-1666","Medium","Pizza、 Italian、 Bars","Riverdale","3524 Johnson Ave","Bronx","12:00 PM - 9:00 PM",,"false","false"
"Red Lobster","187","2.5 star rating","(718) 671-4223","Medium","Seafood、 American (Traditional)","Co-op City","2090 Bartow Ave","Bronx","11:30 AM - 9:30 PM","Drive-thru、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Emilia’s Restaurant","188","3.5 star rating","(718) 367-5915","Medium","Italian","Belmont","2331 Arthur Ave","Bronx","12:00 PM - 11:00 PM",,"false","false"
"Applebee’s Grill + Bar","189","1.5 star rating","(718) 320-4227","Medium","American (Traditional)、 Sports Bars、 Burgers","Co-op City","2276 Bartow Ave","Bronx","9:00 AM - 11:00 PM","Delivery、Takeout","true","true"
"La Cocina Boricua","191","3.5 star rating","(347) 281-5375","Medium","Latin American、 Spanish、 Puerto Rican","Unionport","2245 B Westchester Ave","Bronx","1:00 PM - 10:00 PM","Takeout","false","true"
"Pio Pio 4","196","3.5 star rating","(718) 401-3300","Medium","Latin American、 Peruvian","Mott Haven","264 Cypress Ave","Bronx","11:00 AM - 9:00 PM","Delivery、Takeout","true","true"
"Tino’s Delicatessen","196","4 star rating","(718) 733-9879","Medium","Delis、 Cheese Shops","Belmont","2410 Arthur Ave","Bronx","6:30 AM - 7:30 PM","Delivery、Takeout、Curbside pickup","true","true"
"Sangria Cafe","203","3.5 star rating","(347) 843-6486","Medium","Latin American、 Soup、 Sandwiches","Co-op City","2085 Bartow Ave","Bronx","12:00 PM - 10:00 PM",,"false","false"
"The Hill Bistro","207","4.5 star rating","(718) 708-7770","Medium","American (Traditional)、 Wine Bars","Riverdale","3541 Riverdale Ave","Bronx","11:00 AM - 4:00 PM, 5:00 PM - 12:00 AM (Next day)","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"George’s Diner & Cafe","208","4 star rating","(718) 828-1170","Low","Diners","Westchester Square","2369 Westchester Ave","Bronx","5:00 AM - 11:00 PM","Delivery、Takeout","true","true"
"Bronx Drafthouse","212","4 star rating","(929) 265-9759","Medium","American (New)、 Beer Bar、 Sports Bars","Concourse Village","884 Gerard Ave","Bronx","11:30 AM - 2:00 AM (Next day)","Delivery、Takeout","true","true"
"Hungry Bird","213","4.5 star rating","(917) 801-4900","Medium","Indian","Concourse","980 Morris Ave","Bronx","11:00 AM - 10:30 PM","Delivery、Takeout","true","true"
"Kingsbridge Social Club","214","4.5 star rating","(347) 346-5180","Medium","Pizza、 Sandwiches、 Beer, Wine & Spirits","Kingsbridge","3625 Kingsbridge Ave","Bronx","11:30 AM - 10:00 PM",,"false","false"
"Portofino Restaurant","217","3.5 star rating","(718) 885-1220","High","Italian、 Seafood","City Island","555 City Island Ave","Bronx","11:30 AM - 11:00 PM","Outdoor seating","false","false"
"Michaelangelo’s Little Italy","227","3.5 star rating","(718) 220-8355","Medium","Lounges、 Italian、 Wine Bars","Belmont","2477 Arthur Ave","Bronx","11:00 AM - 9:30 PM","Delivery、Takeout","true","true"
"Buffalo Wild Wings","229","2 star rating","(718) 549-9453","Medium","Sports Bars、 American (Traditional)、 Chicken Wings","Kingsbridge","193 W 237th St","Bronx","11:00 AM - 11:00 PM",,"false","false"
"Outback Steakhouse","152","2.5 star rating","(347) 603-8556","Medium","Steakhouses","Co-op City","270 Baychester Ave","Bronx","11:00 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup、In-person visits","true","true"
"Gerbasi Ristorante","161","4 star rating","(718) 220-5735","Medium","Italian","Belmont","2389 Arthur Ave","Bronx","11:30 AM - 10:00 PM","Delivery","true","false"
"Estrellita Poblana III","162","4 star rating","(718) 220-7641","Medium","Mexican","Belmont","2328 Arthur Ave","Bronx","10:00 AM - 11:00 PM","Delivery、Takeout","true","true"
"S&S Cheesecake","184","4.5 star rating","(718) 549-3888","Medium","Desserts、 Bakeries、 Kosher","Kingsbridge","222 W 238th St","Bronx","6:00 AM - 3:00 PM",,"false","false"
"Jake’s Steakhouse - Bronx","236","4 star rating","(718) 581-0182","High","Steakhouses","Fieldston","6031 Broadway","Bronx","11:30 AM - 10:00 PM",,"false","false"
"Mike’s Deli Arthur Avenue","236","4 star rating","(718) 295-5033","Medium","Caterers、 Delis、 Pasta Shops","Belmont","2344 Arthur Ave","Bronx","7:00 AM - 6:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Kai Sushi Asian Fusion","246","4 star rating","(718) 863-7900","Medium","Asian Fusion、 Chinese、 Japanese","Westchester Square","1475 Williamsbridge Rd","Bronx","11:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Yo-Burger","247","4 star rating","(718) 708-6828","Medium","Burgers、 Vegetarian","Riverdale","3726 Riverdale Ave","Bronx","11:00 AM - 10:00 PM","Takeout","false","true"
"Shangerila Restaurant","251","3 star rating","(718) 828-6080","Medium","Sushi Bars、 Buffets、 Seafood","Pelham Bay","2893 Buhre Ave","Bronx","11:30 AM - 10:00 PM","Delivery、Takeout","true","true"
"Roberto’s","260","4 star rating","(718) 733-9503","High","Italian","Belmont","603 Crescent Ave","Bronx","12:00 PM - 2:30 PM, 5:00 PM - 10:00 PM","Delivery","true","false"
"Arties Steak & Seafood","265","4 star rating","(718) 885-9885","Medium","Seafood、 Steakhouses、 Italian","City Island","394 City Island Ave","Bronx","11:30 AM - 10:30 PM",,"false","false"
"Enzos of Arthur Avenue","272","3.5 star rating","(718) 733-4455","Medium","Italian、 Pizza","Belmont","2339 Arthur Ave","Bronx","11:30 AM - 10:00 PM","Outdoor seating","false","false"
"Estrellita Poblana","272","4 star rating","(718) 518-7425","Medium","Mexican","Unionport","2231 Westchester Ave","Bronx","9:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Curbside pickup","true","true"
"Sabrosura Restaurant","273","3.5 star rating","(718) 597-1344","Medium","Chinese、 Latin American、 Seafood","Unionport","1200 Castle Hill Ave","Bronx","11:30 AM - 8:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Full Moon Pizzeria","286","4 star rating","(718) 584-3451","Low","Pizza、 Italian、 Wraps","Belmont","600 E 187th St","Bronx","11:00 AM - 10:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Salvatores of Soho","294","4 star rating","(718) 548-7499","Medium","Pizza、 Italian","Riverdale","3738 Riverdale Ave","Bronx","11:00 AM - 9:30 PM","Delivery、Takeout","true","true"
"Seafood City","296","3 star rating","(718) 885-3600","Medium","Seafood","City Island","459 City Island Ave","Bronx","11:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Curbside pickup","true","true"
"Crosstown Diner","298","3 star rating","(718) 597-3450","Medium","Diners、 Breakfast & Brunch、 American (Traditional)","Schuylerville","2880 Bruckner Blvd","Bronx","6:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Curbside pickup","true","true"
"Tin Marin","305","4 star rating","(718) 884-4800","Medium","Tapas/Small Plates","Riverdale","3708 Riverdale Ave","Bronx","2:00 PM - 11:00 PM","Outdoor seating、Takeout、Sit-down dining、Curbside pickup","false","true"
"Leche Y Miel Restaurant","307","4 star rating","(718) 708-5787","Medium","Comfort Food、 Dominican、 Juice Bars & Smoothies","Kingsbridge","5761 Broadway","Bronx","11:00 AM - 7:00 PM","Delivery、Takeout","true","true"
"Beatstro","328","4 star rating","(718) 489-9397","Medium","American (Traditional)、 Speakeasies、 Latin American","Mott Haven","135 Alexander Ave","Bronx","3:00 PM - 10:45 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Jimmy’s Grand Cafe","329","3.5 star rating","(718) 319-1200","Medium","Diners","Castle Hill","1001 Castle Hill Ave","Bronx","7:00 AM - 1:00 AM (Next day)","Delivery、Takeout","true","true"
"Ceetay","333","4 star rating","(718) 618-7020","Medium","Sushi Bars、 Asian Fusion、 Thai","Mott Haven","129 Alexander Ave","Bronx","11:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Giovanni","342","2.5 star rating","(718) 402-6996","Medium","Italian、 Pizza","Concourse Village","579 Grand Concourse","Bronx","10:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Curbside pickup","true","true"
"Sea Shore Restaurant & Marina","372","3 star rating","(718) 885-0300","High","Seafood","City Island","591 City Island Ave","Bronx","11:30 AM - 12:00 AM (Next day)","Delivery、Takeout、Curbside pickup","true","true"
"Ajo & Oregano","405","3.5 star rating","(347) 657-1201","Medium","Dominican","Parkchester","1556 White Plains Rd","Bronx","11:30 AM - 8:00 PM",,"false","false"
"La Masa","445","4 star rating","(718) 822-8400","Medium","Colombian、 Empanadas","Morris Park","1000 Morris Park Ave","Bronx","8:30 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、Heated outdoor seating","true","true"
"Tosca Cafe","464","3 star rating","(718) 239-3300","High","Pizza、 Italian、 Cafes","Throgs Neck","4038 E Tremont Ave","Bronx","11:00 AM - 1:00 AM (Next day)","Delivery","true","false"
"Bronx Alehouse","815","4 star rating","(718) 601-0204","Medium","American (Traditional)、 Pubs","Kingsbridge","216 W 238th St","Bronx","11:00 AM - 10:00 PM",,"false","false"
"Antonio’s Trattoria","830","4.5 star rating","(718) 733-6630","Medium","Italian、 Pizza、 Desserts","Belmont","2370 Belmont Ave","Bronx","11:30 AM - 9:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Joe’s Italian Deli","132","5 star rating","(718) 367-7979","Medium","Delis、 Cheese Shops","Belmont","685 E 187th St","Bronx","8:30 AM - 5:30 PM",,"false","false"
"Estrellita Poblana II","124","3.5 star rating","(718) 654-7652","Medium","Mexican","Pelham Gardens","2819 White Plains Rd","Bronx","10:00 AM - 12:00 AM (Next day)","Delivery、Takeout","true","true"
"Tommy’s Pizza","125","4 star rating","(718) 829-2828","Low","Pizza","Edgewater Park","4033 E Tremont Ave","Bronx","10:00 AM - 12:00 AM (Next day)","Delivery","true","false"
"Sabrosura 2","129","4 star rating","(718) 502-9878","Medium","Spanish、 Chinese","Soundview","1808 Westchester Ave","Bronx","11:30 AM - 10:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Lexa Bar & Garden","129","4 star rating","(929) 243-3300","Medium","Burgers、 Beer Bar、 Pizza","Norwood","357 E 204th St","Bronx","5:00 PM - 1:00 AM (Next day)",,"false","false"
"Seis Vecinos Restaurant","129","3.5 star rating","(718) 684-8604","Medium","Latin American、 Mexican、 Honduran","Longwood","640 Prospect Ave","Bronx","9:00 AM - 12:00 AM (Next day)",,"false","false"
"Don Pancho’s","130","3.5 star rating","(718) 585-5855","Medium","Steakhouses","Mott Haven","43 Bruckner Blvd","Bronx","4:00 PM - 11:00 PM","Delivery、Takeout","true","true"
"An Beal Bocht Cafe","132","4 star rating","(718) 884-7127","Medium","Irish、 Pubs","Riverdale","445 W 238th St","Bronx","10:00 AM - 4:00 AM (Next day)","Outdoor seating、Takeout、Sit-down dining","false","true"
"Brewski’s","116","3.5 star rating","(718) 684-2900","Medium","Bars、 American (New)","Schuylerville","3718 E Tremont Ave","Bronx","11:00 AM - 3:00 AM (Next day)","Outdoor seating、Delivery、Takeout、Curbside pickup","true","true"
"Shanghai Red Asian Latin Bistro","106","3.5 star rating","(718) 684-6262","Medium","Asian Fusion、 Cocktail Bars","Westchester Square","127 Westchester Sq","Bronx","12:00 PM - 9:30 PM","Outdoor seating、Delivery、Takeout、Curbside pickup","true","true"
"Santa Fe Grill & Bar","94","3.5 star rating","(718) 796-5095","Medium","Mexican、 Bars","Fieldston","6025 Broadway","Bronx","11:30 AM - 11:00 PM","Delivery、Takeout","true","true"
"Madisons Restaurant & Bar","83","3.5 star rating","(718) 543-3850","Medium","Bars、 Italian","North Riverdale","5686 Riverdale Ave","Bronx","11:30 AM - 10:00 PM","Delivery","true","false"
"Agra Grill","78","4 star rating","(347) 346-5228","Medium","Indian","Williamsbridge","3835 White Plains Rd","Bronx","11:30 AM - 10:00 PM","Delivery、Takeout","true","true"
"Cea-Lo Cafe","79","3.5 star rating","(718) 620-0337","Medium","Soul Food、 Seafood","Soundview","1003 Soundview Ave","Bronx","11:00 AM - 9:00 PM","Takeout","false","true"
"The Healthy Kitchen","87","4 star rating","(347) 694-5083","Medium","Salad、 Wraps、 Juice Bars & Smoothies","Morris Park","1135C Morris Park Ave","Bronx","10:00 AM - 9:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、DIY meal kits、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining","true","true"
"Ikko Hibachi Sushi Asian Bistro","88","4.5 star rating","(347) 621-5052","Unknown",,"Edgewater Park","3938 E Tremont Ave","Bronx","12:30 PM - 10:00 PM",,"false","false"
"Fratelli","88","4 star rating","(718) 547-2489","Medium","Italian、 Seafood","Pelham Gardens","2507 Eastchester Rd","Bronx","11:30 AM - 9:00 PM","Delivery、Takeout","true","true"
"Tokyo House","87","4.5 star rating","(718) 601-6877","Medium","Japanese","North Riverdale","5648 Riverdale Ave","Bronx","11:00 AM - 10:30 PM","Delivery、Takeout","true","true"
"Marisco Centro","89","2.5 star rating","(718) 665-8686","Medium","Spanish、 Bars、 Seafood","Concourse Village","610 Exterior St","Bronx","10:00 AM - 12:00 AM (Next day)","Delivery、Takeout","true","true"
"Fine Food Cuisine","88","4 star rating","(718) 822-1991","Medium","American (New)","West Farms","671 Morris Park Ave","Bronx","11:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Curbside pickup","true","true"
"IHOP","89","2.5 star rating","(718) 860-4467","Medium","Breakfast & Brunch、 American (Traditional)、 Burgers","Claremont Village","961 East 174th St","Bronx","7:00 AM - 6:00 PM",,"false","false"
"Blue Bay Restaurant","79","2.5 star rating","(718) 884-6476","Medium","Diners、 American (Traditional)","Riverdale","3533 Johnson Ave","Bronx","6:00 AM - 10:30 PM","Delivery、Takeout","true","true"
"Novelty Eats","79","4 star rating","(718) 684-6180","Medium","Comfort Food、 American (New)","Pelham Bay","1765 Crosby Ave","Bronx","11:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Ajo y Oregano","80","3 star rating","(347) 918-9638","Medium","Dominican","Belmont","621 Crescent Ave","Bronx","12:30 PM - 9:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Tasty Picks","81","4 star rating","(718) 231-2230","Low","Juice Bars & Smoothies、 Salad、 Delis","Norwood","89 East Gunhill Rd","Bronx","Open 24 hours","Delivery、Takeout","true","true"
"Boca Restaurant and Lounge","81","3 star rating","(917) 688-1031","Medium","Lounges、 Spanish","Belmont","2458 Webster Ave","Bronx","12:00 PM - 12:00 AM (Next day)","Delivery、Takeout","true","true"
"Evo Cocktail Lounge & Restaurant","81","3 star rating","(718) 822-9274","Medium","Cocktail Bars、 American (Traditional)、 Latin American","Unionport","1306 Unionport Rd","Bronx","4:00 PM - 1:00 AM (Next day)","Delivery、Takeout、Curbside pickup","true","true"
"The Last Stop","84","5 star rating","(347) 449-6679","Medium","Bars、 American (Traditional)、 Indian","Kingsbridge","5977 Broadway","Bronx","3:00 PM - 11:15 PM","Delivery","true","false"
"Lin’s Asian Cuisine","84","3.5 star rating","(718) 822-6888","Medium","Chinese、 Sushi Bars、 Asian Fusion","Parkchester","1506 Bronxdale Ave","Bronx","11:00 AM - 10:30 PM","Delivery、Takeout","true","true"
"Kiraku Sushi","84","3.5 star rating","(718) 379-8866","Medium","Sushi Bars、 Japanese","Morris Park","1948 Williamsbridge Rd","Bronx","11:00 AM - 10:00 PM",,"false","false"
"Sam’s Soul Food Restaurant Bar & Lounge","84","3.5 star rating","(718) 665-5341","Medium","Soul Food、 Lounges","Concourse Village","596-598 Grand Concourse","Bronx","7:00 AM - 12:00 PM","Delivery、Takeout","true","true"
"Pizza Studio","85","4.5 star rating","(718) 215-6820","Low","Pizza","Belmont","444 E. Fordham Rd.","Bronx","11:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Mama Puebla","85","3.5 star rating","(718) 792-6262","Medium","Mexican","Schuylerville","3465 E Tremont Ave","Bronx","11:00 AM - 11:00 PM","Delivery、Takeout","true","true"
"ÇKA KA QËLLU","86","4.5 star rating","(718) 933-6194","Medium","Modern European","Belmont","2321 Hughes Ave","Bronx","11:00 AM - 10:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Crosby Pizza Stop","86","4 star rating","(718) 823-8980","Low","Pizza","Pelham Bay","1731 Crosby Ave","Bronx","10:30 AM - 9:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Curry & Kebab","91","4 star rating","(718) 231-5370","Medium","Halal、 Indian","Norwood","3111 Bainbridge Ave","Bronx","11:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Court Deli","92","3.5 star rating","(718) 993-1380","Medium","Delis、 Desserts、 Breakfast & Brunch","Concourse Village","96 E 161st St","Bronx","6:00 AM - 9:00 PM","Delivery、Takeout","true","true"
"Riverdale Indian Cuisine","92","4 star rating","(718) 684-6228","Unknown",,"Kingsbridge","308 W 231 St","Bronx","11:00 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Richie Rich Carribean","93","3 star rating","(718) 708-8431","Medium","Caribbean","Baychester","3357 Fish Ave","Bronx","6:00 AM - 5:30 AM (Next day)","Delivery、Takeout","true","true"
"Arthur Ave Fiasco","93","4.5 star rating","(718) 618-0806","Medium","Italian、 Seafood、 Pizza","Belmont","2376 Arthur Ave","Bronx","12:00 PM - 3:30 PM, 5:00 PM - 9:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Sushi Q Japanese Restaurant","93","3.5 star rating","(718) 822-1627","Medium","Sushi Bars、 Japanese","Country Club","1610 Crosby Ave","Bronx","11:15 AM - 9:45 PM",,"false","false"
"Domino’s Pizza","93","1 star rating","(718) 537-4700","Low","Pizza、 Chicken Wings、 Sandwiches","Claremont Village","1351 Webster Ave","Bronx","10:00 AM - 2:00 AM (Next day)",,"false","false"
"Molino Rojo Restaurant","95","2.5 star rating","(718) 538-9642","Low","Latin American","Concourse Village","101 E 161st St","Bronx","6:00 AM - 12:00 AM (Next day)","Delivery、Takeout","true","true"
"Addeo’s Riverdale Pizzeria","96","3.5 star rating","(718) 549-4750","Low","Pizza、 Italian","North Riverdale","5654 Riverdale Ave","Bronx","11:00 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Healthy Fresh","96","4 star rating","(718) 684-6411","Low","Breakfast & Brunch、 Sandwiches","Morris Park","1033 Morris Park Ave","Bronx","6:00 AM - 9:00 PM","Delivery、Takeout","true","true"
"Bedford Cafe & Restaurant","97","3 star rating","(718) 365-3446","Medium","American (Traditional)、 Cafes","Bedford Park","1 Bedford Park Blvd E","Bronx","6:00 AM - 5:30 AM (Next day)","Delivery、Takeout","true","true"
"Blackstone Bar & Grill","97","4 star rating","(347) 346-6004","Medium","Sports Bars、 Burgers、 Sandwiches","Riverdale","3713 Riverdale Ave","Bronx","11:30 AM - 3:00 AM (Next day)","Delivery、Takeout","true","true"
"The Wicked Wolf","97","4 star rating","(718) 829-4400","Medium","Italian、 German、 Seafood","Edgewater Park","4029 E Tremont Ave","Bronx","11:30 AM - 10:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Queen Of Tacos","98","3.5 star rating","(718) 652-1253","Low","Mexican","Norwood","9 E Mosholu Pkwy N","Bronx","10:00 AM - 12:00 AM (Next day)",,"false","false"
"Smashburger","98","3.5 star rating","(718) 618-4229","Medium","Burgers","Kingsbridge","193 W 237th St","Bronx","10:30 AM - 10:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Tiny’s Diner","99","3 star rating","(718) 708-7600","Medium","Diners","Riverdale","3603 Riverdale Ave","Bronx","7:00 AM - 9:00 PM","Delivery、Takeout","true","true"
"El Nuevo Bohio Lechonera","99","3.5 star rating","(718) 294-3905","Medium","Spanish、 Puerto Rican、 Breakfast & Brunch","East Tremont","791 E Tremont Ave","Bronx","7:00 AM - 8:30 PM","Takeout","false","true"
"MangiPasta","99","4.5 star rating","Unknown","Medium","Italian","Unknown","608 E 187th St","Bronx","12:00 PM - 9:00 PM","Curbside pickup","false","false"
"Da Franco & Tony Ristorante","100","4.5 star rating","(718) 684-2815","Medium","Italian","Country Club","2815 Middletown Rd","Bronx","12:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Curbside pickup","true","true"
"Xochimilco Family Restaurant","102","4.5 star rating","(718) 402-5400","Medium","Mexican","Melrose","653 Melrose Ave","Bronx","9:00 AM - 12:00 AM (Next day)","Delivery、Takeout","true","true"
