"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout","image"
"Clinton Street Baking Company","5167","4 star rating","(646) 602-6263","Medium","Bakeries、 Breakfast & Brunch、 American (Traditional)","Lower East Side","4 Clinton St","Manhattan","9:00 AM - 4:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/DWHdizJ9bKbXN4yq6nbwAA/ls.jpg"
"Artichoke Basille’s Pizza","3977","4 star rating","(212) 228-2004","Low","Pizza","Gramercy","321 E 14th St","Manhattan","11:00 AM - 4:00 AM (Next day)","Delivery、Takeout、Sit-down dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/4krjwPml7pLVDnn56sf6AQ/ls.jpg"
"Buddakan","4057","4 star rating","(212) 989-6699","High","Chinese、 Bars、 Asian Fusion","Meatpacking District","75 9th Ave","Manhattan","12:00 PM - 10:30 PM","Delivery、Takeout、Curbside pickup、Outdoor seating、Virtual tasting sessions","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/Y0PGrSO6gicAmxH4BhU3EA/ls.jpg"
"Milk Bar East Village","3357","3.5 star rating","(646) 692-4154","Medium","Bakeries、 Desserts、 Patisserie/Cake Shop","East Village","251 E 13th St","Manhattan","2:00 PM - 10:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Indoor dining、Heated outdoor seating、Covered outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/2xYDsaWyFxdCNyY1z5pVRQ/ls.jpg"
"Spot Dessert Bar","3039","4 star rating","(212) 677-5670","Medium","Desserts、 Coffee & Tea、 Ice Cream & Frozen Yogurt","East Village","13 St Marks Pl","Manhattan","1:00 PM - 11:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/5dnRWVMLgjNYXDeeG5kPjw/ls.jpg"
"Serendipity 3","4229","3 star rating","(212) 838-3531","Medium","Desserts、 American (New)","Upper East Side","225 E 60th St","Manhattan","12:00 PM - 10:00 PM","Takeout","false","true","https://s3-media0.fl.yelpcdn.com/bphoto/1XMwaZY1rpPZ8RBEhj5T2Q/ls.jpg"
"The Smith","2710","4 star rating","(212) 644-2700","Medium","American (New)、 Breakfast & Brunch、 Cocktail Bars","Midtown East","956 2nd Ave","Manhattan","9:30 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/gih2UqttrnFYeoHpMEWYow/ls.jpg"
"Chinatown Ice Cream Factory","2819","4 star rating","(212) 608-4170","Low","Ice Cream & Frozen Yogurt、 Desserts","Chinatown","65 Bayard St","Manhattan","11:00 AM - 10:00 PM","Staff wears masks、Masks required","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/L552Xirl4r0mhFoHw2UOew/ls.jpg"
"Becco","2850","3.5 star rating","(212) 397-7597","High","Italian","Midtown West","355 W 46th St","Manhattan","4:00 PM - 9:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Private dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/-2p7x5nakbTB0nz96x4bLg/ls.jpg"
"Amélie","2722","4.5 star rating","(212) 533-2962","Medium","French、 Wine Bars","Greenwich Village","22 W 8th St","Manhattan","12:00 PM - 10:30 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/cSDgVuPMnJgMLTrTNSEXug/ls.jpg"
"Club A Steakhouse","2859","4.5 star rating","(212) 688-4190","High","Steakhouses","Midtown East","240 E 58th St","Manhattan","5:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/btpo6TMWXH8sZpFapU2cpA/ls.jpg"
"Taiyaki NYC","2925","4.5 star rating","(212) 966-2882","Low","Desserts、 Ice Cream & Frozen Yogurt","Little Italy","119 Baxter St","Manhattan","11:00 AM - 9:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/pJkAaXKzoFPj0H1EJ1vYEA/ls.jpg"
"The Metropolitan Museum of Art","2938","4.5 star rating","(212) 535-7710","Unknown",,"Central Park","1000 5th Ave","Manhattan","10:00 AM - 5:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/oqhwmydKw-jPcUhoxBGGyg/ls.jpg"
"Gramercy Tavern","2940","4.5 star rating","(212) 477-0777","Very High","American (New)","Flatiron","42 E 20th St","Manhattan","11:00 AM - 3:00 PM, 4:30 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/MgfPMoFNmjIWcrMxTZbsvw/ls.jpg"
"ABC Kitchen","2992","4 star rating","(212) 475-5829","High","Breakfast & Brunch、 Cocktail Bars、 Salad","Flatiron","35 E 18th St","Manhattan","11:00 AM - 3:00 PM, 5:30 PM - 11:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/k2V0QyHL_IFbfDnR33S0cg/ls.jpg"
"Del Frisco’s Double Eagle Steakhouse","3048","4.5 star rating","(212) 575-5129","Very High","Steakhouses、 American (New)、 Seafood","Theater District","1221 Ave Of The Americas","Manhattan","4:00 PM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/FyQ0V-QtndWStk5B8qwjXw/ls.jpg"
"Rice To Riches","3057","4 star rating","(212) 274-0008","Medium","Desserts","Nolita","37 Spring St","Manhattan","12:00 PM - 11:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining、Covered outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/YcJMOVwMfrqTqX1Eo5XFoQ/ls.jpg"
"Los Tacos No.1","3085","4.5 star rating","Unknown","Low","Tacos","Unknown","75 9th Ave","Manhattan","11:00 AM - 10:00 PM","Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/FU44TYl3PzXsE06G4W5aog/ls.jpg"
"Balthazar","3096","4 star rating","(212) 965-1414","High","French、 Breakfast & Brunch","SoHo","80 Spring St","Manhattan","8:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/059pBnbIE72oJcKRoaj6bg/ls.jpg"
"Dinosaur Bar-B-Que","3111","4 star rating","(212) 694-1777","Medium","Barbeque、 Music Venues","Harlem","700 W 125th St","Manhattan","11:30 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/YWMehMtfQu57zztvCNr3jQ/ls.jpg"
"Cafe Habana","3164","4 star rating","(212) 625-2001","Medium","Cuban、 Mexican","Nolita","17 Prince St","Manhattan","11:00 AM - 11:00 PM","Delivery、Takeout、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/MUy4xs3PVio0lgzBNLmsBw/ls.jpg"
"Doughnut Plant","3247","4.5 star rating","(212) 505-3700","Medium","Donuts、 Coffee & Tea","Lower East Side","379 Grand St","Manhattan","8:00 AM - 4:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/hLWKXsLv6hyltNSilBy8-g/ls.jpg"
"Red Rooster Harlem","3311","3.5 star rating","(212) 792-9001","High","American (Traditional)、 Breakfast & Brunch、 Cocktail Bars","Harlem","310 Lenox Ave","Manhattan","11:00 AM - 9:45 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/S_4wwMMYx74kk-Wh9gQVcg/ls.jpg"
"Cafeteria","3365","3.5 star rating","(212) 414-1717","Medium","American (New)、 Cocktail Bars、 Comfort Food","Chelsea","119 7th Ave","Manhattan","10:00 AM - 11:00 PM","Delivery、Takeout、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/b75csM4Dx4KSccjwETPC4w/ls.jpg"
"Best Bagel & Coffee","3391","4.5 star rating","(212) 564-4409","Low","Bagels、 Coffee & Tea、 Breakfast & Brunch","Midtown West","225 W 35th St","Manhattan","8:00 AM - 2:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/9-8DVzhwfzFS5GUCq3O6NA/ls.jpg"
"Beauty & Essex","3498","4 star rating","(212) 614-0146","High","American (New)","Lower East Side","146 Essex St","Manhattan","5:00 PM - 11:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/hjnX0l0hgBZFZWEpTKLqKg/ls.jpg"
"Thai Villa","3629","4.5 star rating","(212) 802-9999","Medium","Thai、 Asian Fusion","Flatiron","5 E 19th St","Manhattan","11:30 AM - 10:15 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/XKvKGgVuj4_jhqHPVQj4_A/ls.jpg"
"Ess-a-Bagel","3686","4 star rating","(347) 343-5728","Low","Bakeries、 Bagels、 Delis","Midtown East","831 3rd Ave","Manhattan","6:00 AM - 5:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Covered outdoor seating、Private dining、Gift cards、Shipping","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/QM_3c0Y5nYgu-8qcPhjHwA/ls.jpg"
"Ippudo Westside","3715","4 star rating","(212) 974-2500","Medium","Ramen","Theater District","321 W 51st St","Manhattan","11:30 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/uQX2gw-z0e3S2Qmt0ZFghA/ls.jpg"
"230 Fifth Rooftop Bar","3737","3 star rating","(212) 725-4300","Medium","Cocktail Bars","Flatiron","230 5th Ave","Manhattan","12:00 PM - 12:00 AM (Next day)","Outdoor seating、Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/7-MPNwusNDiiXe_UdvgOyw/ls.jpg"
"Carmine’s Italian Restaurant - Times Square","3768","4 star rating","(212) 221-3800","Medium","Italian、 Caterers、 Venues & Event Spaces","Theater District","200 W 44th St","Manhattan","12:00 PM - 10:00 PM","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/ABC0jQ9tmZ58dDgztabrVQ/ls.jpg"
"Prince Street Pizza","3816","4.5 star rating","(212) 966-4100","Low","Pizza、 Italian","Nolita","27 Prince St","Manhattan","10:00 AM - 3:00 AM (Next day)","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/ZAukOyv530w4KjOHC5YY1w/ls.jpg"
"Momofuku Noodle Bar","4255","3.5 star rating","(212) 777-7773","Medium","Ramen、 American (New)","East Village","171 1st Ave","Manhattan","12:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/tpxnaBydb0iTVCutNG3cSg/ls.jpg"
"Jacob’s Pickles","4387","4 star rating","(212) 470-5566","Medium","Comfort Food、 Southern、 American (Traditional)","Upper West Side","509 Amsterdam Ave","Manhattan","9:00 AM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/yU9q4U1WSk6diDF0dcA9ag/ls.jpg"
"Dominique Ansel Bakery","4656","4 star rating","(212) 219-2773","Medium","Bakeries、 Desserts","South Village","189 Spring St","Manhattan","8:00 AM - 7:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/ae6sDhEfUXTE5EKfWSOrCQ/ls.jpg"
"Max Brenner - New York","4673","3.5 star rating","(646) 467-8803","Medium","Desserts、 American (Traditional)、 Breakfast & Brunch","Union Square","841 Broadway","Manhattan","12:00 PM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/1Fzl2DqnRJrr-oYUzZbgcg/ls.jpg"
"Bibble & Sip","4905","4.5 star rating","(646) 649-5116","Low","Coffee & Tea、 Bakeries","Theater District","253 W 51st St","Manhattan","10:00 AM - 8:00 PM","Delivery、Takeout、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/gX847-f2s1X65RkzsFAWBA/ls.jpg"
"Amy Ruth’s","2676","4 star rating","(212) 280-8779","Medium","Southern、 Soul Food","Harlem","113 W 116th St","Manhattan","11:00 AM - 10:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/sapq-ooZksx3NgRPnXxmpw/ls.jpg"
"Keens Steakhouse","2609","4 star rating","(212) 947-3636","Very High","Steakhouses、 Desserts、 Pubs","Midtown West","72 W 36th St","Manhattan","12:00 PM - 10:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/r5zJDg4fO0E_foyYa0EHpw/ls.jpg"
"Grace Street","2607","4 star rating","(917) 745-2125","Medium","Coffee & Tea、 Desserts、 Shaved Ice","Koreatown","17 W 32nd St","Manhattan","11:00 AM - 11:30 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/On6gXwHqkaZrrN6Q5dEvGA/ls.jpg"
"Joe’s Pizza","2611","4 star rating","(212) 366-1182","Low","Pizza","West Village","7 Carmine St","Manhattan","10:00 AM - 5:00 AM (Next day)","Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/1TvTRG9HFmEGaTSBMcUBhA/ls.jpg"
"TAO Uptown","2616","3.5 star rating","(212) 888-2288","High","Asian Fusion","Midtown East","42 E 58th St","Manhattan","5:00 PM - 10:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/IuIgdwjn-lUrQKLPNd-X7g/ls.jpg"
"Veselka","2647","4 star rating","(212) 228-9682","Medium","Diners、 Ukrainian","East Village","144 2nd Ave","Manhattan","9:00 AM - 10:00 PM","Delivery、Takeout、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/f1RdxZKOM07-lytOMAHuSA/ls.jpg"
"Woorijip","2659","4 star rating","(212) 244-1115","Low","Korean","Koreatown","12 W 32nd St","Manhattan","11:00 AM - 10:00 PM","Delivery、Takeout、Sit-down dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/NZcGFutBjf1frDkslh6urw/ls.jpg"
"OBAO","2660","4 star rating","(212) 245-8880","Medium","Vietnamese、 Thai、 Asian Fusion","Midtown West","647 9th Ave","Manhattan","11:30 AM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/CpVI2XJLrvg09Fm83bfPog/ls.jpg"
"Vanessa’s Dumpling House","2672","4 star rating","(212) 625-8008","Low","Chinese","Lower East Side","118A Eldridge St","Manhattan","11:00 AM - 8:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/PhjG-5or1FvxoXzUxi82KA/ls.jpg"
"Pure Thai Cookhouse","2575","4 star rating","(212) 581-0999","Medium","Thai、 Noodles、 Chicken Wings","Theater District","766 9th Ave","Manhattan","12:00 PM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/QFYS-7MPGlOjUUy_2TkwLw/ls.jpg"
"Uva","2440","4 star rating","(212) 472-4552","Medium","Italian、 Wine Bars、 Pizza","Upper East Side","1486 2nd Ave","Manhattan","11:00 AM - 11:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/9RtO2LH9u8fh_vSzqUhutg/ls.jpg"
"Olio e Piú","2453","4.5 star rating","(212) 243-6546","Medium","Pizza、 Italian、 Breakfast & Brunch","West Village","3 Greenwich Ave","Manhattan","10:00 AM - 12:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/zfMdQW5StR08SPg96JWy8g/ls.jpg"
"Friedmans","2486","4 star rating","(212) 971-9400","Medium","American (New)、 Breakfast & Brunch、 Juice Bars & Smoothies","Midtown West","132 W 31st St","Manhattan","9:00 AM - 4:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/ozX4Cw6cgUOjJhakx3kyHg/ls.jpg"
"Rubirosa","2359","4.5 star rating","(212) 965-0500","Medium","Italian、 Pizza","Nolita","235 Mulberry St","Manhattan","12:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/LuSzR8cpVQRofXOT_bMi1A/ls.jpg"
"Marea","2109","4 star rating","(212) 582-5100","High","Italian、 Seafood、 Wine Bars","Midtown West","240 Central Park S","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Private dining、DIY meal kits","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/-7_hUV0_zqVzsbqNOJ_iMA/ls.jpg"
"S’MAC","2217","3.5 star rating","(212) 358-7912","Medium","American (Traditional)、 Gluten-Free、 Vegetarian","East Village","197 1st Ave","Manhattan","11:00 AM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/v0WNAlbgqS0IN3NVw98tSw/ls.jpg"
"Cookshop","2133","4 star rating","(212) 924-4440","Medium","American (New)、 Breakfast & Brunch、 Wine Bars","Chelsea","156 10th Ave","Manhattan","10:30 AM - 10:00 PM","Delivery、Takeout、Curbside pickup、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/BVNl4RPKVrw2tYtYfiRWBw/ls.jpg"
"Sushi Yasuda","2133","4 star rating","(212) 972-1001","High","Japanese","Midtown East","204 E 43rd St","Manhattan","4:00 PM - 9:00 PM","Delivery、Takeout、Outdoor seating、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/z6GvhobHxGaKtpfXBFd5Lg/ls.jpg"
"John’s of Times Square","2158","3.5 star rating","(212) 391-7560","Medium","Pizza","Midtown West","260 W 44th St","Manhattan","12:00 PM - 7:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/Bv0JmER-bqicw7H25S2NYw/ls.jpg"
"Supreme Restaurant","2166","3.5 star rating","(212) 966-3988","Low","Shanghainese、 Dim Sum","Chinatown","100 Mott St","Manhattan","11:30 AM - 10:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Heated outdoor seating、Covered outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/ufge_7wMK3EKe-asFmiyVg/ls.jpg"
"Hill Country Barbecue Market","2183","3.5 star rating","(212) 255-4544","Medium","Barbeque、 Southern、 Bars","Flatiron","30 W 26th St","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/mjHUf6zqciWfxX6qmM1cBQ/ls.jpg"
"Penelope","2187","3.5 star rating","(212) 481-3800","Medium","American (Traditional)、 Breakfast & Brunch、 American (New)","Kips Bay","159 Lexington Ave","Manhattan","9:00 AM - 9:00 PM","Sit-down dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/5gxby8stSAIftZsWju4IAw/ls.jpg"
"Eleven Madison Park","2192","4.5 star rating","(212) 889-0905","Very High","American (New)、 French、 Cocktail Bars","Flatiron","11 Madison Ave","Manhattan","12:00 PM - 1:00 PM, 5:30 PM - 10:30 PM","Curbside pickup、Sit-down dining、Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/2hfw1KehM6JG6WqCAyj32A/ls.jpg"
"Minetta Tavern","2226","4 star rating","(212) 475-3850","High","French、 American (New)、 Breakfast & Brunch","Greenwich Village","113 Macdougal St","Manhattan","11:00 AM - 3:30 PM, 4:30 PM - 10:00 PM","Delivery、Takeout、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/uMGD3p2lKLGfa3F5-FZxyw/ls.jpg"
"Russ & Daughters","2287","4.5 star rating","(212) 475-4880","Medium","Bagels、 Smokehouse、 Bakeries","Lower East Side","179 E Houston St","Manhattan","9:00 AM - 4:00 PM","Indoor dining","false","false","https://s3-media0.fl.yelpcdn.com/bphoto/EN-MJ-kuk_-ihX1_DKHgFA/ls.jpg"
"Burger Joint","2305","3.5 star rating","(212) 708-7414","Medium","American (Traditional)、 Burgers","Midtown West","119 W 56th St","Manhattan","11:00 AM - 8:00 PM","Delivery、Takeout","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/l6V8FttRctV4SmzvaiyMvw/ls.jpg"
"Catch NYC","2329","3.5 star rating","(212) 392-5978","High","Asian Fusion、 Sushi Bars、 Seafood","Meatpacking District","21 9th Ave","Manhattan","11:30 AM - 3:30 PM, 5:30 PM - 12:00 AM (Next day)","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/mVz9OJCd7DRnsl6intQmfw/ls.jpg"
"Pio Pio 8","2351","4 star rating","(212) 459-2929","Medium","Latin American、 Peruvian","Hell's Kitchen","604 10th Ave","Manhattan","11:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/EudNGODUe39iCHZi9PiPIw/ls.jpg"
"Havana Central","2357","4 star rating","(212) 398-7440","Medium","Cuban、 Latin American","Theater District","151 W 46th St","Manhattan","12:00 PM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/2prfKoDI3k9RiniHo3iVkg/ls.jpg"
"Trattoria Trecolori","2358","4 star rating","(212) 997-4540","Medium","Italian","Theater District","254 West 47th St","Manhattan","12:00 PM - 10:00 PM","Delivery、Takeout、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/nL_iTlbmA__6yNAAj1Xldg/ls.jpg"
"The High Line","2359","4.5 star rating","(212) 206-9922","Unknown",,"Meatpacking District","820 Washington St","Manhattan","10:00 AM - 6:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/EmcYudpGFlDRclkARn2UfA/ls.jpg"
"Izakaya MEW","2360","4 star rating","(646) 368-9384","Medium","Tapas Bars、 Sushi Bars、 Izakaya","Midtown West","53 W 35th St","Manhattan","12:00 PM - 2:30 PM, 5:00 PM - 11:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/cL9AZlSoyBFPr8QkyFfnWw/ls.jpg"
"Bleecker Street Pizza","2392","4 star rating","(212) 924-4466","Low","Pizza、 Italian","West Village","69 7th Ave S","Manhattan","10:00 AM - 5:00 AM (Next day)",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/Kyi2tP43S_a6s-zXD38NUQ/ls.jpg"
"Mamoun’s Falafel","2404","4 star rating","(212) 674-8685","Low","Middle Eastern、 Falafel","Greenwich Village","119 MacDougal St","Manhattan","11:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Curbside pickup、Outdoor seating","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/7Uvw0k2iRKjCUA9BqM-sgg/ls.jpg"
"Jing Fong Restaurant","2411","3.5 star rating","(212) 964-5256","Medium","Dim Sum、 Cantonese","Chinatown","20 Elizabeth St","Manhattan","9:30 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true","https://s3-media0.fl.yelpcdn.com/bphoto/2oZ4yWHrOg8h49qf1MUPZw/ls.jpg"
"Up Thai","2417","4.5 star rating","(212) 256-1188","Medium","Thai、 Asian Fusion","Upper East Side","1411 2nd Ave","Manhattan","11:30 AM - 10:00 PM",,"false","false","https://s3-media0.fl.yelpcdn.com/bphoto/i4TPZkTUWJn8aljC0UeU9Q/ls.jpg"
