"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout"
"Barboncino Pizza & Bar","990","4 star rating","(718) 218-3300","Medium","Pizza、 Bars、 Italian","Crown Heights","781 Franklin Ave","Brooklyn","11:00 AM - 1:00 AM (Next day)","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Tanoreen","877","4 star rating","(718) 748-5600","Medium","Middle Eastern、 Mediterranean、 Halal","Bay Ridge","7523 3rd Ave","Brooklyn","12:00 PM - 10:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining","true","true"
"Bozu","835","4 star rating","(718) 384-7770","Medium","Japanese、 Asian Fusion","Williamsburg - South Side","296 Grand St","Brooklyn","5:00 PM - 10:15 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Ho’ Brah a Taco Joint","801","4 star rating","(718) 680-8226","Medium","Mexican、 Tex-Mex","Bay Ridge","8618 3rd Ave","Brooklyn","12:00 PM - 9:00 PM","Delivery","true","false"
"SkyIce Sweet & Savory","751","4 star rating","(718) 230-0910","Medium","Ice Cream & Frozen Yogurt、 Thai","Park Slope","63 5th Ave","Brooklyn","4:30 PM - 10:30 PM","Delivery、Takeout","true","true"
"Calexico - Greenpoint","721","3.5 star rating","(347) 763-2129","Medium","Mexican、 Salad、 Breakfast & Brunch","Greenpoint","645 Manhattan Ave","Brooklyn","12:00 PM - 10:00 PM","Delivery、Takeout","true","true"
"Martha’s Country Bakery","723","4.5 star rating","(718) 599-0900","Medium","Bakeries、 Coffee & Tea、 Desserts","Williamsburg - North Side","263 Bedford Ave","Brooklyn","6:00 AM - 12:00 AM (Next day)","Delivery、Sit-down dining、Outdoor seating、Indoor dining","true","false"
"Four & Twenty Blackbirds","724","4 star rating","(718) 499-2917","Medium","Bakeries、 Coffee & Tea","Gowanus","439 3rd Ave","Brooklyn","8:00 AM - 6:00 PM","Delivery、Takeout","true","true"
"Burrito Bar","726","3 star rating","(718) 230-8646","Medium","Mexican、 Bars、 Tex-Mex","Prospect Heights","307 Flatbush Ave","Brooklyn","11:30 AM - 1:00 AM (Next day)","Delivery、Takeout","true","true"
"Bunker","736","4 star rating","(718) 386-4282","Medium","Vietnamese","East Williamsburg","99 Scott Ave","Brooklyn","5:00 PM - 8:30 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true"
"Cebu Bar & Bistro","739","4 star rating","(718) 492-5095","Medium","Breakfast & Brunch、 Burgers、 American (New)","Bay Ridge","8801 3rd Ave","Brooklyn","12:45 PM - 9:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating","true","true"
"DuMont Burger","739","3.5 star rating","(718) 384-6127","Medium","Burgers、 Beer Bar、 Cocktail Bars","Williamsburg - South Side","314 Bedford Ave","Brooklyn","11:30 AM - 11:00 PM","Delivery、Takeout、Outdoor seating","true","true"
"Sake Sushi","744","3.5 star rating","(718) 996-6288","Medium","Sushi Bars、 Japanese、 Buffets","Bath Beach","2347 86th St","Brooklyn","11:00 AM - 11:00 PM","Delivery、Takeout","true","true"
"Diner","748","4 star rating","(718) 486-3077","Medium","Diners、 American (New)、 Breakfast & Brunch","South Williamsburg","85 Broadway","Brooklyn","5:00 PM - 10:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating","true","true"
"Taci’s Beyti","750","4.5 star rating","(718) 627-5750","Medium","Turkish、 Middle Eastern、 Mediterranean","Midwood","1953 Coney Island Ave","Brooklyn","12:00 PM - 11:00 PM",,"false","false"
"Cecconi’s Dumbo","759","3.5 star rating","(718) 650-3900","High","Italian","DUMBO","55 Water St","Brooklyn","5:00 PM - 11:00 PM","Sit-down dining、Outdoor seating、Indoor dining","false","false"
"Yaso Tangbao","765","3.5 star rating","(929) 337-7599","Medium","Shanghainese","Downtown Brooklyn","148 Lawrence St","Brooklyn","11:30 AM - 9:00 PM",,"false","false"
"Mesa Coyoacan","770","4 star rating","(718) 782-8171","Medium","Mexican、 Bars","East Williamsburg","372 Graham Ave","Brooklyn","4:00 PM - 11:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true"
"Piquant","770","3.5 star rating","(718) 484-4114","Medium","American (New)、 Latin American","Prospect Heights","259 Flatbush Ave","Brooklyn","11:00 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true"
"Clover Club","778","4 star rating","(718) 855-7939","Medium","Lounges、 American (Traditional)、 Cocktail Bars","Cobble Hill","210 Smith St","Brooklyn","4:00 PM - 11:00 PM",,"false","false"
"99 Favor Taste","780","4 star rating","(718) 439-0578","Medium","Chinese、 Hot Pot、 Barbeque","Sunset Park","732 61st St","Brooklyn","11:00 AM - 2:00 AM (Next day)",,"false","false"
"Mile End Delicatessen Brooklyn","784","3.5 star rating","(718) 852-7510","Medium","Delis、 Breakfast & Brunch、 Sandwiches","Boerum Hill","97A Hoyt St","Brooklyn","8:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Mia’s Bakery","786","4.5 star rating","(347) 987-3194","Low","Bakeries、 Cafes、 Desserts","Cobble Hill","139 Smith St","Brooklyn","7:00 AM - 9:00 PM","Delivery、Takeout、Sit-down dining","true","true"
"Brooklyn Botanic Garden","804","4.5 star rating","(718) 623-7200","Unknown",,"Prospect Heights","990 Washington Ave","Brooklyn","8:00 AM - 8:30 PM","Curbside pickup、Virtual tours","false","false"
"Chimu Bistro","809","4 star rating","(718) 383-0045","Medium","Steakhouses、 Peruvian、 Seafood","Williamsburg - North Side","482 Union Ave","Brooklyn","4:00 PM - 10:00 PM","Delivery、Takeout","true","true"
"Emily","815","4 star rating","(347) 844-9588","High","American (Traditional)","Clinton Hill","919 Fulton St","Brooklyn","5:30 PM - 10:30 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"MangoSeed Restaurant","815","4 star rating","(718) 513-6084","Medium","Caribbean、 Cocktail Bars、 Pizza","Prospect Lefferts Gardens","755 Flatbush Ave","Brooklyn","4:00 PM - 9:45 PM",,"false","false"
"Black Swan","822","3.5 star rating","(718) 783-4744","Medium","Gastropubs、 Breakfast & Brunch","Bedford Stuyvesant","1048 Bedford Ave","Brooklyn","11:00 AM - 4:00 AM (Next day)","Delivery、Takeout","true","true"
"Fonda Park Slope","822","4 star rating","(718) 369-3144","Medium","Mexican、 Salad、 Breakfast & Brunch","South Slope","434 7th Ave","Brooklyn","4:00 PM - 10:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true"
"Frankies 457 Spuntino","826","4 star rating","(718) 403-0033","Medium","Italian、 Sandwiches、 Wine Bars","Carroll Gardens","457 Court St","Brooklyn","4:00 PM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true"
"Caracas Arepa Bar","829","4 star rating","(718) 218-6050","Medium","Venezuelan","Williamsburg - South Side","291 Grand St","Brooklyn","11:00 AM - 10:00 PM",,"false","false"
"Pates Et Traditions","845","4.5 star rating","(718) 302-1878","Medium","French、 Desserts","Williamsburg - North Side","52 Havemeyer St","Brooklyn","12:30 PM - 10:30 PM","Delivery、Takeout、Outdoor seating","true","true"
"Sunday in Brooklyn","847","4 star rating","(347) 222-6722","Medium","American (New)、 Breakfast & Brunch、 Cocktail Bars","Williamsburg - South Side","348 Wythe Ave","Brooklyn","11:00 AM - 3:30 PM, 5:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true"
"St. Anselm","849","4 star rating","(718) 384-5054","High","American (New)、 Wine Bars、 Steakhouses","Williamsburg - North Side","355 Metropolitan Ave","Brooklyn","4:00 PM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true"
"Lilia","857","4 star rating","(718) 576-3095","High","Italian、 Cocktail Bars","Williamsburg - North Side","567 Union Ave","Brooklyn","5:30 PM - 11:00 PM","Outdoor seating、Indoor dining","false","false"
"Dun-Well Doughnuts","861","4 star rating","(347) 294-0871","Medium","Donuts、 Coffee & Tea","East Williamsburg","222 Montrose Ave","Brooklyn","8:00 AM - 6:00 PM","Takeout、Curbside pickup、Sit-down dining","false","true"
"Shake Shack","862","4 star rating","(718) 307-7599","Medium","Burgers、 Ice Cream & Frozen Yogurt","Downtown Brooklyn","409 Fulton St","Brooklyn","11:00 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true"
"Footprints Cafe","871","3 star rating","(718) 451-3181","Medium","Caribbean、 Desserts、 Vegetarian","East Flatbush","5814 Clarendon Rd","Brooklyn","11:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Outdoor seating","true","true"
"Mable’s Smokehouse & Banquet Hall","880","4 star rating","(718) 218-6655","Medium","Barbeque、 Bars、 American (Traditional)","Williamsburg - North Side","44 Berry St","Brooklyn","12:00 PM - 9:00 PM",,"false","false"
"Saraghina","887","4 star rating","(718) 758-4079","Medium","Pizza、 Breakfast & Brunch、 Bakeries","Bedford Stuyvesant","350 Lewis Ave","Brooklyn","4:00 PM - 10:00 PM",,"false","false"
"Olea","892","4 star rating","(718) 643-7003","Medium","Tapas Bars、 Breakfast & Brunch、 Mediterranean","Fort Greene","171 Lafayette Ave","Brooklyn","3:00 PM - 9:00 PM",,"false","false"
"Cheryl’s Global Soul","895","4 star rating","(347) 529-2855","Medium","Breakfast & Brunch、 Comfort Food、 Coffee & Tea","Prospect Heights","236 Underhill Ave","Brooklyn","10:00 AM - 8:00 PM",,"false","false"
"Al Di La Trattoria","896","4 star rating","(718) 783-4565","High","Italian","Park Slope","248 5th Ave","Brooklyn","5:00 PM - 9:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true"
"Chavela’s","1104","4 star rating","(718) 622-3100","Medium","Mexican、 Bars","Crown Heights","736 Franklin Ave","Brooklyn","11:00 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Milk & Honey Cafe","1095","4 star rating","(718) 513-0441","Medium","Coffee & Tea、 Desserts、 Breakfast & Brunch","Flatbush","1119 Newkirk Ave","Brooklyn","7:00 AM - 8:00 PM","Sit-down dining、Indoor dining","false","false"
"Chuko","1072","4 star rating","(347) 425-9570","Medium","Asian Fusion、 Ramen","Prospect Heights","565 Vanderbilt Ave","Brooklyn","5:30 PM - 9:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Miriam","1028","4 star rating","(718) 622-2250","Medium","Wine Bars、 Mediterranean、 Breakfast & Brunch","Park Slope","79 5th Ave","Brooklyn","10:00 AM - 10:00 PM",,"false","false"
"Habana Outpost","1009","4 star rating","(718) 858-9500","Medium","Cuban","Fort Greene","757 Fulton St","Brooklyn","12:00 PM - 11:00 PM","Delivery、Takeout、Outdoor seating","true","true"
"ICHIRAN - Brooklyn","1170","3.5 star rating","(718) 381-0491","Medium","Ramen、 Noodles、 Soup","East Williamsburg","374 Johnson Ave","Brooklyn","12:00 PM - 9:00 PM",,"false","false"
"Cafe Mogador","1190","4.5 star rating","(718) 486-9222","Medium","Moroccan、 Breakfast & Brunch、 Mediterranean","Williamsburg - North Side","133 Wythe Ave","Brooklyn","10:30 AM - 10:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating","true","true"
"The Farm On Adderley","1192","4 star rating","(718) 287-3101","Medium","American (New)、 Breakfast & Brunch、 Cocktail Bars","Flatbush","1108 Cortelyou Rd","Brooklyn","12:00 PM - 9:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true"
"Red Hook Lobster Pound","1146","4 star rating","(718) 858-7650","Medium","Seafood","Red Hook","284 Van Brunt St","Brooklyn","12:00 PM - 9:00 PM",,"false","false"
"Nathan’s Famous","1220","3.5 star rating","(718) 946-2202","Low","Hot Dogs、 Seafood、 Burgers","Coney Island","1310 Surf Ave","Brooklyn","10:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Song","1074","3.5 star rating","(718) 965-1108","Medium","Thai","Park Slope","295 5th Ave","Brooklyn","4:30 PM - 9:30 PM","Delivery、Takeout","true","true"
"The Meatball Shop","1242","4 star rating","(718) 551-0520","Medium","American (Traditional)、 Italian、 Salad","Williamsburg - North Side","170 Bedford Ave","Brooklyn","12:00 PM - 9:30 PM",,"false","false"
"Joya","1323","3.5 star rating","(718) 222-3484","Medium","Thai","Cobble Hill","215 Court St","Brooklyn","12:00 PM - 9:30 PM","Delivery、Takeout","true","true"
"L & B Spumoni Gardens","3923","4 star rating","(718) 449-1230","Low","Pizza、 Italian","Gravesend","2725 86th St","Brooklyn","11:00 AM - 12:00 AM (Next day)","Delivery、Takeout、Outdoor seating","true","true"
"Sweet Chick","2037","4 star rating","(347) 725-4793","Medium","Southern、 Breakfast & Brunch、 American (Traditional)","Williamsburg - North Side","164 Bedford Ave","Brooklyn","12:00 PM - 10:00 PM",,"false","false"
"Buttermilk Channel","1893","4 star rating","(718) 852-8490","Medium","American (New)、 Breakfast & Brunch","Carroll Gardens","524 Court St","Brooklyn","5:00 PM - 9:00 PM","Delivery、Takeout、Indoor dining","true","true"
"Junior’s Restaurant","1735","3.5 star rating","(718) 852-5257","Medium","Bakeries、 Diners","Downtown Brooklyn","386 Flatbush Ave Ext","Brooklyn","7:00 AM - 8:00 PM",,"false","false"
"Dinosaur Bar-B-Que","1677","3.5 star rating","(347) 429-7030","Medium","Barbeque、 American (Traditional)","Gowanus","604 Union St","Brooklyn","4:00 PM - 9:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating","true","true"
"Five Leaves","1615","4 star rating","(718) 383-5345","Medium","American (New)、 Coffee & Tea、 Bars","Greenpoint","18 Bedford Ave","Brooklyn","10:00 AM - 11:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true"
"Champs Diner","1568","4 star rating","(718) 599-2743","Medium","Vegan、 Bakeries、 Diners","East Williamsburg","197 Meserole St","Brooklyn","1:00 PM - 9:00 PM",,"false","false"
"Hometown Bar-B-Que","1416","4 star rating","(347) 294-4644","Medium","Barbeque、 Smokehouse","Red Hook","454 Van Brunt St","Brooklyn","12:00 PM - 8:00 PM",,"false","false"
"Peter Pan Donut & Pastry Shop","1373","4.5 star rating","(718) 389-3676","Low","Bakeries、 Donuts、 Breakfast & Brunch","Greenpoint","727 Manhattan Ave","Brooklyn","4:30 AM - 6:00 PM","Delivery、Takeout","true","true"
"Tom’s","1324","4 star rating","(718) 636-9738","Medium","Diners、 American (Traditional)、 Breakfast & Brunch","Prospect Heights","782 Washington Ave","Brooklyn","7:00 AM - 5:00 PM","Outdoor seating、Indoor dining","false","false"
"Hanco’s","696","4 star rating","(718) 858-6818","Low","Vietnamese、 Bubble Tea、 Coffee & Tea","Cobble Hill","134 Smith St","Brooklyn","11:15 AM - 8:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"Dekalb Market Hall","673","4 star rating","(929) 359-6555","Medium","Food Court","Downtown Brooklyn","445 Albee Square W","Brooklyn","7:00 AM - 10:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Patrizia’s - Williamsburg","677","4 star rating","(718) 218-9272","Medium","Pizza、 Italian","South Williamsburg","35 Broadway","Brooklyn","11:00 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Curbside pickup","true","true"
"Gino’s Restaurant","683","4 star rating","(718) 748-1698","Medium","Pizza、 Italian、 Wine Bars","Bay Ridge","7414 5th Ave","Brooklyn","11:00 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Momo Sushi Shack","656","4 star rating","(718) 418-6666","Medium","Japanese、 Sushi Bars、 Asian Fusion","East Williamsburg","43 Bogart St","Brooklyn","5:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Union Hall","642","4 star rating","(718) 638-4400","Medium","Pubs、 Performing Arts、 Bocce Ball","Park Slope","702 Union St","Brooklyn","4:00 PM - 11:00 PM","Curbside pickup、Sit-down dining","false","false"
"Sugarcane","610","3.5 star rating","(718) 230-3954","Medium","Caribbean","Prospect Heights","238 Flatbush Ave","Brooklyn","5:30 PM - 12:00 AM (Next day)","Takeout、Sit-down dining、Outdoor seating","false","true"
"Kellogg’s Diner","596","2.5 star rating","(718) 782-4502","Medium","Diners","Williamsburg - North Side","518 Metropolitan Ave","Brooklyn","Open 24 hours","Delivery、Takeout、Sit-down dining","true","true"
"Sweet Science","579","3.5 star rating","(347) 763-0872","Medium","Bars、 Burgers、 American (New)","East Williamsburg","135 Graham Ave","Brooklyn","12:00 PM - 2:00 AM (Next day)","Delivery、Takeout","true","true"
"Imani Caribbean Kitchen & Bar","549","4 star rating","(718) 923-0100","Medium","Caribbean、 American (New)","Fort Greene","271 Adelphi St","Brooklyn","2:00 PM - 9:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、DIY meal kits、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining","true","true"
"Mayfield","532","4 star rating","(347) 318-3643","Medium","American (New)、 Breakfast & Brunch","Crown Heights","688 Franklin Ave","Brooklyn","5:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true"
"Bricolage","514","4 star rating","(718) 230-1835","Medium","Vietnamese、 Gastropubs、 Cocktail Bars","Park Slope","162 5th Ave","Brooklyn","5:30 PM - 9:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating","true","true"
"Benchmark","505","3.5 star rating","(718) 965-7040","High","Steakhouses、 American (New)","Park Slope","339-A 2nd St","Brooklyn","4:00 PM - 8:00 PM","Delivery、Takeout、Outdoor seating","true","true"
"Ghenet Brooklyn","498","4 star rating","(718) 230-4475","Medium","Ethiopian、 African","Gowanus","348 Douglass St","Brooklyn","5:00 PM - 10:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining","true","true"
"Convivium Osteria","486","4 star rating","(718) 857-1833","High","Italian、 Wine Bars、 Venues & Event Spaces","Park Slope","68 5th Ave","Brooklyn","5:00 PM - 10:30 PM","Delivery、Takeout","true","true"
"Superfine","471","3.5 star rating","(718) 243-9005","Medium","Bars、 American (New)","DUMBO","126 Front St","Brooklyn","11:30 AM - 2:00 AM (Next day)","Outdoor seating、Delivery、Takeout、Heated outdoor seating、Indoor dining","true","true"
"Fabiane’s","472","3.5 star rating","(718) 218-9632","Medium","Breakfast & Brunch、 Wine Bars、 Tapas/Small Plates","Williamsburg - North Side","142 N 5th St","Brooklyn","9:00 AM - 10:00 PM",,"false","false"
"Puerto Viejo","474","4 star rating","(718) 398-3758","Medium","Dominican","Crown Heights","564 Grand Ave","Brooklyn","11:00 AM - 11:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Lemongrass Grill","475","4 star rating","(718) 522-9728","Medium","Thai","Cobble Hill","156 Court St","Brooklyn","12:00 PM - 10:30 PM","Delivery、Takeout","true","true"
"Bagel Pub","475","4 star rating","(718) 499-4402","Low","Cafes、 Breakfast & Brunch、 Bagels","Park Slope","287 9th St","Brooklyn","6:00 AM - 4:00 PM","Delivery、Takeout、Indoor dining、Curbside pickup","true","true"
"Juanchi’s Burger","477","4.5 star rating","(929) 295-0147","Medium","Gastropubs、 Burgers","Williamsburg - South Side","225 S 1st St","Brooklyn","12:00 PM - 10:00 PM",,"false","false"
"Partners Coffee","479","4 star rating","(347) 586-0063","Medium","Coffee & Tea","Williamsburg - North Side","125 N 6th St","Brooklyn","7:30 AM - 6:00 PM","Outdoor seating、Indoor dining","false","false"
"HK Tea and Sushi","479","3 star rating","(718) 265-7800","Low","Sushi Bars、 Chinese、 Hong Kong Style Cafe","Bath Beach","2033 86th St","Brooklyn","11:30 AM - 10:30 PM","Social distancing enforced、Staff wears masks","false","false"
"Panino Rustico","479","4.5 star rating","(718) 236-6343","Medium","Italian、 Sandwiches、 Wraps","Bensonhurst","8222 17th Ave","Brooklyn","10:00 AM - 8:30 PM","Outdoor seating、Delivery、Takeout、Indoor dining","true","true"
"Giovanni’s Brooklyn Eats","481","4 star rating","(718) 788-8001","Medium","Italian","South Slope","1657 8th Ave","Brooklyn","11:00 AM - 11:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Miss Favela","487","3 star rating","(718) 230-4040","Medium","Brazilian、 Diners、 Breakfast & Brunch","Williamsburg - South Side","57 S 5th St","Brooklyn","12:00 PM - 11:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"Gran Electrica","487","3.5 star rating","(718) 852-2700","Medium","Mexican、 Breakfast & Brunch、 Cocktail Bars","DUMBO","5 Front St","Brooklyn","5:30 PM - 10:30 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Alligator Lounge","492","4 star rating","(718) 599-4440","Low","Lounges、 Dive Bars、 Karaoke","Williamsburg - North Side","600 Metropolitan Ave","Brooklyn","3:00 PM - 4:00 AM (Next day)","Curbside pickup","false","false"
"Piccoli Trattoria","492","4.5 star rating","(718) 788-0066","Medium","Italian、 Pasta Shops、 Wine Bars","South Slope","522 6th Ave","Brooklyn","4:30 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Indoor dining","true","true"
"Bacchus Bistro & Wine Bar","492","4 star rating","(718) 852-1572","Medium","French、 Wine Bars","Boerum Hill","409-411 Atlantic Ave","Brooklyn","5:00 PM - 10:30 PM","Outdoor seating、Delivery、Takeout、Curbside pickup","true","true"
"Pedro’s Mexican Bar & Restaurant","493","2.5 star rating","(718) 797-2851","Medium","Mexican","DUMBO","73 Jay St","Brooklyn","11:00 AM - 12:00 AM (Next day)","Outdoor seating、Delivery、Takeout","true","true"
"Bareburger - Park Slope","493","3.5 star rating","(718) 768-2273","Medium","Burgers、 American (New)、 Cocktail Bars","Park Slope","170 7th Ave","Brooklyn","12:00 PM - 9:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Alma Restaurant","494","3.5 star rating","(718) 643-5400","Medium","Mexican","Columbia Street Waterfront District","187 Columbia St","Brooklyn","5:30 PM - 10:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"Little Cupcake Bakeshop","498","3.5 star rating","(718) 680-4465","Medium","Bakeries、 Cupcakes","Fort Hamilton","9102 3rd Ave","Brooklyn","6:30 AM - 11:00 PM","Takeout","false","true"
"Lucy’s Vietnamese Bushwick","498","4 star rating","(347) 240-1599","Medium","Vietnamese、 Sandwiches、 Noodles","Bushwick","262 Irving Ave","Brooklyn","12:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Rucola","499","4 star rating","(718) 576-3209","Medium","Italian、 Desserts、 Diners","Boerum Hill","190 Dean St","Brooklyn","12:00 PM - 9:00 PM","Delivery、Takeout","true","true"
"TGI Fridays","500","2 star rating","(718) 648-0891","Medium","American (Traditional)","Sheepshead Bay","3181 Harkness Ave","Brooklyn","11:00 AM - 12:00 AM (Next day)","Outdoor seating、Delivery、Takeout","true","true"
"Chela Modern Mexican","501","4.5 star rating","(718) 701-1891","Medium","Lounges、 Mexican、 Breakfast & Brunch","Park Slope","408 5th Ave","Brooklyn","12:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Naruto Ramen","502","3.5 star rating","(718) 832-1111","Medium","Ramen、 Noodles","Park Slope","276 5th Ave","Brooklyn","12:00 PM - 10:00 PM","Delivery、Takeout","true","true"
"Llama Inn","504","4 star rating","(718) 387-3434","High","Peruvian、 Bars","Williamsburg - North Side","50 Withers St","Brooklyn","5:30 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Chez Oskar","504","3.5 star rating","(718) 852-6250","Medium","French、 Cocktail Bars","Bedford Stuyvesant","310 Malcolm X Blvd","Brooklyn","11:00 AM - 11:00 PM","Takeout","false","true"
"Claw Daddy’s","505","4 star rating","(347) 318-8893","Medium","Cajun/Creole、 Seafood","Boerum Hill","31 3rd Ave","Brooklyn","2:00 PM - 10:00 PM",,"false","false"
"Prince Tea House","505","4 star rating","(929) 337-7150","Medium","Desserts、 Tea Rooms、 Sandwiches","Sunset Park","6122 7th Ave","Brooklyn","12:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Le Petit Café","506","3.5 star rating","(718) 596-7060","Medium","Coffee & Tea、 Breakfast & Brunch","Carroll Gardens","502 Court St","Brooklyn","6:00 AM - 11:00 PM","Delivery、Takeout","true","true"
"Baked","506","4 star rating","(718) 222-0345","Medium","Bakeries、 Custom Cakes、 Cupcakes","Red Hook","359 Van Brunt St","Brooklyn","8:00 AM - 4:00 PM",,"false","false"
"Sea Wolf - Bushwick","507","4 star rating","(833) 524-0925","Medium","Cocktail Bars、 Seafood、 American (Traditional)","Bushwick","19 Wyckoff Ave","Brooklyn","12:00 PM - 8:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
