"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout"
"Izakaya MEW","2348","4 star rating","(646) 368-9384","Medium","Tapas Bars、 Sushi Bars、 Izakaya","Midtown West","53 W 35th St","Manhattan","12:00 PM - 2:30 PM, 5:00 PM - 9:30 PM",,"false","false"
"Pio Pio 8","2349","4 star rating","(212) 459-2929","Medium","Latin American、 Peruvian","Hell's Kitchen","604 10th Ave","Manhattan","11:00 AM - 11:00 PM","Delivery、Takeout、Indoor dining","true","true"
"Bleecker Street Pizza","2387","4 star rating","(212) 924-4466","Low","Pizza、 Italian","West Village","69 7th Ave S","Manhattan","10:00 AM - 2:00 AM (Next day)",,"false","false"
"Up Thai","2397","4.5 star rating","(212) 256-1188","Medium","Thai、 Asian Fusion","Upper East Side","1411 2nd Ave","Manhattan","11:30 AM - 10:00 PM",,"false","false"
"Jing Fong Restaurant","2410","3.5 star rating","(212) 964-5256","Medium","Dim Sum、 Cantonese","Chinatown","20 Elizabeth St","Manhattan","10:00 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Saigon Shack","2424","4 star rating","(212) 228-0588","Low","Sandwiches、 Coffee & Tea、 Salad","Greenwich Village","114 Macdougal St","Manhattan","11:00 AM - 9:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining","true","true"
"Uva","2429","4 star rating","(212) 472-4552","Medium","Italian、 Wine Bars、 Pizza","Upper East Side","1486 2nd Ave","Manhattan","3:00 PM - 11:00 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Olio e Piú","2430","4.5 star rating","(212) 243-6546","Medium","Pizza、 Italian、 Breakfast & Brunch","West Village","3 Greenwich Ave","Manhattan","11:00 AM - 11:00 PM",,"false","false"
"Friedmans","2478","4 star rating","(212) 971-9400","Medium","American (New)、 Breakfast & Brunch、 Juice Bars & Smoothies","Midtown West","132 W 31st St","Manhattan","9:00 AM - 4:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating","true","true"
"Calle Ocho","2525","4 star rating","(212) 873-5025","Medium","Cuban、 Latin American","Manhattan Valley","2756 Broadway","Manhattan","4:00 PM - 10:00 PM","Delivery、Takeout、Outdoor seating","true","true"
"Le Bernardin","2553","4.5 star rating","(212) 554-1515","Very High","French、 Lounges","Theater District","155 W 51st St","Manhattan","12:00 PM - 2:30 PM, 5:30 PM - 10:30 PM","Sit-down dining、Outdoor seating","false","false"
"Pure Thai Cookhouse","2572","4 star rating","(212) 581-0999","Medium","Thai、 Noodles、 Chicken Wings","Theater District","766 9th Ave","Manhattan","12:00 PM - 9:00 PM",,"false","false"
"Joe’s Pizza","2602","4 star rating","(212) 366-1182","Low","Pizza","West Village","7 Carmine St","Manhattan","10:00 AM - 4:00 AM (Next day)","Indoor dining","false","false"
"Keens Steakhouse","2603","4 star rating","(212) 947-3636","Very High","Steakhouses、 Desserts、 Pubs","Midtown West","72 W 36th St","Manhattan","11:45 AM - 9:30 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating","true","true"
"TAO Uptown","2608","3.5 star rating","(212) 888-2288","High","Asian Fusion","Midtown East","42 E 58th St","Manhattan","5:00 PM - 10:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining","true","true"
"Veselka","2636","4 star rating","(212) 228-9682","Medium","Diners、 Ukrainian","East Village","144 2nd Ave","Manhattan","9:00 AM - 10:00 PM","Delivery、Takeout、Outdoor seating、Indoor dining","true","true"
"OBAO","2653","4 star rating","(212) 245-8880","Medium","Vietnamese、 Thai、 Asian Fusion","Midtown West","647 9th Ave","Manhattan","11:30 AM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating","true","true"
"Woorijip","2654","4 star rating","(212) 244-1115","Low","Korean","Koreatown","12 W 32nd St","Manhattan","11:00 AM - 10:00 PM","Delivery、Takeout、Sit-down dining","true","true"
"Amy Ruth’s","2669","4 star rating","(212) 280-8779","Medium","Southern、 Soul Food","Harlem","113 W 116th St","Manhattan","11:00 AM - 9:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true"
"Amélie","2717","4.5 star rating","(212) 533-2962","Medium","French、 Wine Bars","Greenwich Village","22 W 8th St","Manhattan","5:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true"
"Gramercy Tavern","2932","4.5 star rating","(212) 477-0777","Very High","American (New)","Flatiron","42 E 20th St","Manhattan","5:00 PM - 9:00 PM",,"false","false"
"Del Frisco’s Double Eagle Steakhouse","3041","4.5 star rating","(212) 575-5129","Very High","Steakhouses、 American (New)、 Seafood","Theater District","1221 Ave Of The Americas","Manhattan","11:00 AM - 11:00 PM",,"false","false"
"Los Tacos No.1","3077","4.5 star rating","Unknown","Low","Tacos","Unknown","75 9th Ave","Manhattan","11:00 AM - 10:00 PM","Indoor dining","false","false"
"Dinosaur Bar-B-Que","3108","4 star rating","(212) 694-1777","Medium","Barbeque、 Music Venues","Harlem","700 W 125th St","Manhattan","11:30 AM - 9:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating","true","true"
"Jane","3149","4 star rating","(212) 254-7000","Medium","Breakfast & Brunch、 American (New)、 Bars","Greenwich Village","100 W Houston St","Manhattan","11:30 AM - 10:00 PM",,"false","false"
"Cafe Habana","3162","4 star rating","(212) 625-2001","Medium","Cuban、 Mexican","Nolita","17 Prince St","Manhattan","11:00 AM - 11:00 PM","Delivery、Takeout、Outdoor seating","true","true"
"Red Rooster Harlem","3298","3.5 star rating","(212) 792-9001","High","American (Traditional)、 Breakfast & Brunch、 Cocktail Bars","Harlem","310 Lenox Ave","Manhattan","12:00 PM - 9:00 PM",,"false","false"
"Cafeteria","3360","3.5 star rating","(212) 414-1717","Medium","American (New)、 Cocktail Bars、 Comfort Food","Chelsea","119 7th Ave","Manhattan","10:00 AM - 11:00 PM","Delivery、Takeout、Indoor dining","true","true"
"Best Bagel & Coffee","3375","4.5 star rating","(212) 564-4409","Low","Bagels、 Coffee & Tea、 Breakfast & Brunch","Midtown West","225 W 35th St","Manhattan","6:30 AM - 2:00 PM",,"false","false"
"Thai Villa","3597","4.5 star rating","(212) 802-9999","Medium","Thai、 Asian Fusion","Flatiron","5 E 19th St","Manhattan","11:30 AM - 10:00 PM",,"false","false"
"Ess-a-Bagel","3678","4 star rating","(347) 343-5728","Low","Bakeries、 Bagels、 Delis","Midtown East","831 3rd Ave","Manhattan","6:00 AM - 5:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Covered outdoor seating、Private dining、Gift cards、Shipping","true","true"
"Prince Street Pizza","3790","4.5 star rating","(212) 966-4100","Low","Pizza、 Italian","Nolita","27 Prince St","Manhattan","10:00 AM - 11:00 PM","Delivery、Takeout、Curbside pickup、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining、DIY meal kits","true","true"
"Artichoke Basille’s Pizza","3978","4 star rating","(212) 228-2004","Low","Pizza","Gramercy","321 E 14th St","Manhattan","11:00 AM - 4:00 AM (Next day)","Delivery、Takeout、Sit-down dining","true","true"
"Buddakan","4041","4 star rating","(212) 989-6699","High","Chinese、 Bars、 Asian Fusion","Meatpacking District","75 9th Ave","Manhattan","4:00 PM - 11:00 PM","Delivery、Takeout、Curbside pickup、Outdoor seating、Virtual tasting sessions","true","true"
"Serendipity 3","4224","3 star rating","(212) 838-3531","Medium","Desserts、 American (New)","Upper East Side","225 E 60th St","Manhattan","12:00 PM - 10:00 PM","Takeout","false","true"
"Momofuku Noodle Bar","4253","3.5 star rating","(212) 777-7773","Medium","Ramen、 American (New)","East Village","171 1st Ave","Manhattan","5:00 PM - 9:00 PM",,"false","false"
"Jacob’s Pickles","4342","4 star rating","(212) 470-5566","Medium","Comfort Food、 Southern、 American (Traditional)","Upper West Side","509 Amsterdam Ave","Manhattan","10:00 AM - 10:30 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining、Heated outdoor seating、Covered outdoor seating、Private dining","true","true"
"Max Brenner - New York","4668","3.5 star rating","(646) 467-8803","Medium","Desserts、 American (Traditional)、 Breakfast & Brunch","Union Square","841 Broadway","Manhattan","12:00 PM - 10:00 PM",,"false","false"
"The Halal Guys","9571","4 star rating","(347) 527-1505","Low","Food Stands、 Middle Eastern、 Halal","Theater District","W 53rd St","Manhattan","12:00 AM - 4:00 AM, 10:00 AM - 12:00 AM (Next day)","Delivery、Takeout","true","true"
"Ippudo NY","10011","4 star rating","(212) 388-0088","Medium","Ramen","East Village","65 4th Ave","Manhattan","11:30 AM - 3:30 PM, 5:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining、Outdoor seating","true","true"
"Miss KOREA BBQ","1858","3.5 star rating","(212) 594-4963","Medium","Korean、 Barbeque","Koreatown","10 W 32nd St","Manhattan","10:00 AM - 10:00 PM",,"false","false"
"Buvette","1778","4 star rating","(212) 255-3590","Medium","French、 Wine Bars、 Cocktail Bars","West Village","42 Grove St","Manhattan","8:00 AM - 10:00 PM",,"false","false"
"Tanner Smiths","1779","4.5 star rating","(646) 590-2034","Medium","Cocktail Bars、 American (New)、 Beer Bar","Midtown West","204 W 55th St","Manhattan","3:00 PM - 11:00 PM",,"false","false"
"Golden Unicorn","1788","3.5 star rating","(212) 941-0911","Medium","Dim Sum、 Cantonese","Chinatown","18 E Broadway","Manhattan","9:30 AM - 6:30 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、DIY meal kits、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining","true","true"
"Dallas BBQ","1788","3 star rating","(212) 221-9000","Medium","Barbeque、 American (Traditional)","Midtown West","241 W 42nd St","Manhattan","11:00 AM - 12:00 AM (Next day)","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Per Se","1659","4.5 star rating","(212) 823-9335","Very High","French","Hell's Kitchen","10 Columbus Cir","Manhattan","5:00 PM - 9:00 PM","Sit-down dining、Indoor dining","false","false"
"Patzeria Perfect Pizza","1611","4 star rating","(212) 575-7646","Low","Pizza、 Italian、 Breakfast & Brunch","Theater District","231 W 46th St","Manhattan","7:00 AM - 12:00 AM (Next day)","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Cuba Restaurant and Rum Bar","1574","4 star rating","(212) 420-7878","Medium","Cuban","Greenwich Village","222 Thompson St","Manhattan","2:00 PM - 9:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、Heated outdoor seating、Indoor dining、Private dining","true","true"
"Taim West Village","1529","4.5 star rating","(212) 691-1287","Medium","Falafel、 Salad、 Gluten-Free","West Village","222 Waverly Pl","Manhattan","11:00 AM - 10:00 PM",,"false","false"
"Wo Hop","1479","3.5 star rating","(212) 962-8617","Medium","Chinese、 Noodles、 Soup","Chinatown","17 Mott St","Manhattan","10:30 AM - 9:00 PM",,"false","false"
"Thursday Kitchen","1378","4.5 star rating","Unknown","Medium","Korean、 American (New)、 Tapas/Small Plates","Unknown","424 E 9th St","Manhattan","5:00 PM - 10:30 PM","Delivery、Takeout、Sit-down dining、Outdoor seating、Indoor dining","true","true"
"Cafe Lalo","1356","3 star rating","(212) 496-6031","Medium","Desserts、 Cafes","Upper West Side","201 W 83rd St","Manhattan","9:00 AM - 1:00 AM (Next day)","Delivery、Takeout","true","true"
"J.G. Melon","1318","3.5 star rating","(212) 744-0585","Medium","American (Traditional)、 Bars、 Salad","Upper East Side","1291 3rd Ave","Manhattan","11:30 AM - 11:30 PM","Outdoor seating、Takeout、Sit-down dining、Indoor dining","false","true"
"TONCHIN NEW YORK","1279","4.5 star rating","(646) 692-9912","Medium","Ramen、 Izakaya","Midtown West","13 W 36th St","Manhattan","11:30 AM - 2:30 PM, 5:00 PM - 9:00 PM",,"false","false"
"Harlem Tavern","1280","3.5 star rating","(212) 866-4500","Medium","Pubs、 American (New)、 Breakfast & Brunch","Harlem","2153 Frederick Douglass Blvd","Manhattan","12:00 PM - 2:00 AM (Next day)","Delivery、Takeout","true","true"
"Agave","1293","3.5 star rating","(212) 989-2100","Medium","Mexican、 Cocktail Bars","West Village","140 7th Ave S","Manhattan","4:00 PM - 11:00 PM","Delivery、Takeout、Sit-down dining","true","true"
"Dim Sum Palace","1295","4 star rating","(646) 861-1910","Medium","Dim Sum、 Cantonese","Midtown West","334 W 46th St","Manhattan","12:00 PM - 11:45 PM","Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Barbounia","1298","3.5 star rating","(212) 995-0242","High","Greek、 Mediterranean、 Middle Eastern","Flatiron","250 Park Ave S","Manhattan","11:30 AM - 4:00 PM, 5:00 PM - 11:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"The Little Owl","1298","4 star rating","(212) 741-4695","High","Breakfast & Brunch、 Mediterranean","West Village","90 Bedford St","Manhattan","11:00 AM - 11:00 PM",,"false","false"
"Kang Ho Dong Baekjeong","1300","4 star rating","(212) 966-9839","High","Korean、 Barbeque","Koreatown","1 E 32nd St","Manhattan","12:30 PM - 11:00 PM","Delivery、Takeout","true","true"
"Vezzo","1306","4 star rating","(212) 839-8300","Medium","Pizza、 Pasta Shops","Midtown East","178 Lexington Ave","Manhattan","12:00 PM - 9:00 PM","Delivery、Takeout","true","true"
"Peacefood Cafe","1307","4 star rating","(212) 362-2266","Medium","Vegan、 Cafes","Upper West Side","460 Amsterdam Ave","Manhattan","11:30 AM - 9:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Yakitori Totto","1320","4 star rating","(212) 245-4555","High","Japanese","Midtown West","251 W 55th St","Manhattan","12:00 PM - 3:30 PM, 5:00 PM - 10:00 PM",,"false","false"
"Supper","1320","4 star rating","(212) 477-7600","Medium","Italian","East Village","156 E 2nd St","Manhattan","4:00 PM - 12:00 AM (Next day)","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining","true","true"
"Dos Toros Taqueria","1324","4 star rating","(212) 677-7300","Low","Mexican","Union Square","137 4th Ave","Manhattan","11:00 AM - 8:00 PM",,"false","false"
"Ivan Ramen","1325","3.5 star rating","(646) 678-3859","Medium","Ramen","Lower East Side","25 Clinton St","Manhattan","12:00 PM - 8:30 PM","Delivery、Takeout","true","true"
"The Lobster Place","1332","4 star rating","(212) 255-5672","Medium","Seafood Markets、 Seafood","Meatpacking District","75 9th Ave","Manhattan","11:00 AM - 8:00 PM","Outdoor seating、Delivery、Takeout、Indoor dining","true","true"
"Hide-Chan Ramen","1333","3.5 star rating","(212) 813-1800","Medium","Ramen","Midtown East","248 E 52nd St","Manhattan","11:45 AM - 10:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"Katsu-Hama","1340","4 star rating","(212) 758-5909","Medium","Japanese","Midtown East","11 E 47th St","Manhattan","11:30 AM - 9:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining","true","true"
"Great NY Noodle Town","1344","3.5 star rating","(212) 349-0923","Low","Cantonese、 Noodles","Chinatown","28 Bowery","Manhattan","9:00 AM - 4:00 AM (Next day)","Delivery、Takeout、Indoor dining","true","true"
"Parker & Quinn","1353","4 star rating","(212) 729-0277","Medium","American (New)、 Bars、 Breakfast & Brunch","Midtown West","64 W 39th St","Manhattan","11:30 AM - 8:00 PM",,"false","false"
"Coppelia","1358","4 star rating","(212) 858-5001","Medium","Cuban、 Latin American、 Bars","West Village","207 W 14th St","Manhattan","8:00 AM - 9:30 PM","Outdoor seating、Delivery、Takeout、Indoor dining","true","true"
"Hatsuhana Sushi Restaurant","1360","4 star rating","(212) 355-3345","High","Japanese、 Sushi Bars","Midtown East","17 E 48th St","Manhattan","11:30 AM - 8:30 PM",,"false","false"
"Cask","1362","4 star rating","(212) 300-4924","Medium","Bars、 American (New)、 Breakfast & Brunch","Murray Hill","167 E 33rd St","Manhattan","4:00 PM - 11:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"New Wonjo Restaurant","1367","3.5 star rating","(212) 695-5815","Medium","Korean、 Barbeque、 Noodles","Koreatown","23 W 32nd St","Manhattan","9:00 AM - 4:00 AM (Next day)","Delivery、Takeout、Curbside pickup","true","true"
"Gray’s Papaya","1367","3.5 star rating","(212) 799-0243","Low","Hot Dogs、 Juice Bars & Smoothies","Upper West Side","2090 Broadway","Manhattan","8:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"THEP Thai Restaurant","1370","4.5 star rating","(212) 899-9995","Medium","Thai、 Noodles、 Asian Fusion","Upper East Side","1439 2nd Ave","Manhattan","11:30 AM - 3:45 PM, 5:00 PM - 10:15 PM",,"false","false"
"Churrascaria Plataforma","1373","4 star rating","(212) 245-0505","Very High","Brazilian、 Steakhouses","Theater District","316 W 49th St","Manhattan","1:00 PM - 9:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、Heated outdoor seating、Indoor dining","true","true"
"Maialino","1384","4 star rating","(212) 777-2410","High","Italian、 Breakfast & Brunch、 Bars","Gramercy","2 Lexington Ave","Manhattan","7:30 AM - 10:00 PM",,"false","false"
"Raclette","1385","4 star rating","(917) 997-7306","Medium","Sandwiches、 French、 Burgers","East Village","511 E 12th St","Manhattan","5:00 PM - 11:00 PM",,"false","false"
