"shopname","num_comments","point_comments","phone_num","cost","food_type","district_name","location","area","time","service","delivery","takeout"
"IHOP","136","2.5 star rating","(718) 494-4467","Medium","Breakfast & Brunch、 American (Traditional)、 Burgers","Graniteville","935 Richmond Ave","Staten Island","7:00 AM - 9:00 PM","Unknown","false","false"
"Andrew’s Diner","138","4 star rating","(718) 948-8544","Medium","Diners","Great Kills","4160 Hylan Blvd","Staten Island","6:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Fab Cup","142","4 star rating","(718) 954-3062","Medium","Coffee & Tea、 Creperies、 Juice Bars & Smoothies","West Brighton","605 Forest Ave","Staten Island","8:00 AM - 4:00 PM","Unknown","false","false"
"Real Madrid Restaurant","143","3.5 star rating","(718) 447-7885","Medium","Spanish、 Seafood","Graniteville","2075 Forest Ave","Staten Island","12:00 PM - 8:00 PM","Delivery、Takeout、Sit-down dining","true","true"
"Phil-Am Kusina","146","4.5 star rating","(718) 727-3663","Medium","Filipino","Rosebank","556 Tompkins Ave","Staten Island","12:00 PM - 7:45 PM","Delivery、Takeout","true","true"
"Villa Monte Pizzeria & Restaurant","150","3.5 star rating","(718) 494-6554","Medium","Italian","Heartland Village","2811 Richmond Ave","Staten Island","11:00 AM - 11:00 PM","Unknown","false","false"
"Jac Mao","152","3.5 star rating","(718) 979-6100","Medium","Chinese、 Japanese","Dongan Hills","1771 Hylan Blvd","Staten Island","12:00 PM - 11:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"O’Neills","152","4 star rating","(718) 273-4481","Medium","Bars、 Irish、 American (Traditional)","Westerleigh","1614 Forest Ave","Staten Island","11:30 AM - 12:00 AM (Next day)","Delivery、Takeout","true","true"
"Nonna’s Pizzeria","154","4 star rating","(718) 227-8108","Low","Pizza","Great Kills","27 Brower Ct","Staten Island","11:00 AM - 11:00 PM","Delivery、Takeout","true","true"
"Arirang Hibachi Steakhouse","154","3.5 star rating","(718) 966-9600","Medium","Sushi Bars、 Steakhouses、 Japanese","Great Kills","23A Nelson Ave","Staten Island","3:00 PM - 9:00 PM","Unknown","false","false"
"Towne Deli & Pizza","155","3.5 star rating","(718) 227-1985","Medium","Pizza、 Delis","Tottenville","5373 Arthur Kill Rd","Staten Island","9:00 AM - 11:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Precious Island Dim Sum","158","4 star rating","(718) 668-2700","Medium","Cantonese、 Dim Sum","New Dorp","366 New Dorp Ln","Staten Island","10:00 AM - 9:00 PM","Outdoor seating、Sit-down dining","false","false"
"Max’s Es-Ca","159","4 star rating","(718) 980-5006","Medium","Italian、 Bars","Todt Hill","1559 Richmond Rd","Staten Island","1:00 PM - 9:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"Pho Rainbow II","161","4 star rating","(718) 987-1084","Low","Vietnamese","New Dorp","42 New Dorp Plz S","Staten Island","11:00 AM - 9:00 PM","Unknown","false","false"
"Egger’s Ice Cream Parlor","163","3.5 star rating","(718) 981-2110","Low","Candy Stores、 Ice Cream & Frozen Yogurt","Westerleigh","1194 Forest Ave","Staten Island","11:00 AM - 10:00 PM","Delivery、Takeout、In-store shopping、Curbside pickup","true","true"
"The Cookie Jar","164","4.5 star rating","(718) 448-3500","Medium","Bakeries","Westerleigh","1226 Forest Ave","Staten Island","9:00 AM - 5:00 PM","Delivery、Takeout","true","true"
"Vinum Restaurant & Wine Bar","165","4.5 star rating","(718) 448-8466","High","Wine Bars、 Italian、 Tapas/Small Plates","Stapleton","704 Bay St","Staten Island","12:00 PM - 9:00 PM","Unknown","false","false"
"The Pizza Parlor","168","4 star rating","(718) 356-4233","Medium","Pizza、 American (Traditional)、 Italian","Annadale","6 Sneden Ave","Staten Island","11:00 AM - 11:30 PM","Delivery、Takeout","true","true"
"Nino’s Restaurant","169","4.5 star rating","(718) 448-3838","Medium","Italian","Grasmere","1110 Hylan Blvd","Staten Island","1:00 PM - 9:00 PM","Delivery","true","false"
"DOUGH By Licastri","170","4.5 star rating","(929) 380-6460","Medium","Pizza、 Sandwiches","Dongan Hills","1456 Richmond Rd","Staten Island","12:00 PM - 9:00 PM","Unknown","false","false"
"Chang Noi Thai","175","4.5 star rating","(718) 442-8424","Medium","Thai","St. George","100 Stuyvesant Pl","Staten Island","11:30 AM - 4:00 PM, 5:00 PM - 9:30 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、DIY meal kits、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining","true","true"
"Sanma Japanese Restaurant","176","3.5 star rating","(718) 983-5063","Medium","Sushi Bars、 Japanese","Bullshead","10 Akron St","Staten Island","12:00 PM - 10:00 PM","Unknown","false","false"
"Deluca’s Italian Restaurant","179","4.5 star rating","(718) 227-7200","High","Italian、 Seafood、 Cocktail Bars","Tottenville","7324 Amboy Rd","Staten Island","1:00 PM - 9:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Marie’s Gourmet","187","4 star rating","(718) 981-4664","Medium","Delis、 Italian","Silver Lake","977 Victory Blvd","Staten Island","9:30 AM - 8:00 PM","Delivery、Takeout","true","true"
"Sofia’s Taqueria","191","4 star rating","(929) 308-2324","Medium","Mexican、 Cocktail Bars","Clifton","977 Bay St","Staten Island","11:30 AM - 10:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"Jade Island","192","3.5 star rating","(718) 761-8080","Medium","Chinese","Heartland Village","2845 Richmond Ave","Staten Island","11:30 AM - 11:30 PM","Delivery、Takeout、Curbside pickup","true","true"
"Outback Steakhouse","197","3 star rating","(347) 990-3085","Medium","Steakhouses","Heartland Village","280 Marsh Ave","Staten Island","11:00 AM - 9:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup、In-person visits","true","true"
"Annadale Terrace","200","3 star rating","(718) 967-5900","Medium","Bars、 Mediterranean、 American (New)","Annadale","801 Annadale Rd","Staten Island","7:00 AM - 11:00 PM","Outdoor seating、Delivery、Takeout","true","true"
"Jade Asian Bistro","200","4 star rating","(718) 980-6880","Medium","Asian Fusion、 Chinese","New Dorp","331 New Dorp Ln","Staten Island","11:30 AM - 10:00 PM","Delivery、Takeout","true","true"
"Panini Grill","200","3.5 star rating","(718) 981-2999","Medium","Pizza、 Italian、 Desserts","West Brighton","538 Forest Ave","Staten Island","10:00 AM - 10:00 PM","Delivery、Takeout","true","true"
"Bruno’s Bakery & Resturant","203","3.5 star rating","(718) 448-0993","Medium","Bakeries、 Italian、 Breakfast & Brunch","West Brighton","676 Forest Ave","Staten Island","8:00 AM - 9:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Taste of India II","204","4 star rating","(718) 987-4700","Medium","Indian","New Dorp","287 New Dorp Ln","Staten Island","11:30 AM - 10:30 PM","Unknown","false","false"
"Reggiano’s","210","4 star rating","(718) 966-6610","Medium","Pizza、 Italian、 Barbeque","Tottenville","7339 Amboy Rd","Staten Island","11:00 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Lobster House Joe’s","213","3.5 star rating","(718) 667-0003","Medium","Seafood","Grant City","1898 Hylan Blvd","Staten Island","11:00 AM - 9:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"DaddyO’s BBQ & Sports Bar","214","3.5 star rating","(718) 285-4096","Medium","Barbeque、 Sports Bars、 American (Traditional)","Tompkinsville","181 Bay St","Staten Island","11:30 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Z Two Restaurant Diner and Lounge","216","3 star rating","(718) 356-6800","Medium","Diners、 Lounges、 American (New)","Charleston","2925 Veterans Rd W","Staten Island","Open 24 hours","Delivery、Takeout、Covered outdoor seating","true","true"
"Nurnberger Bierhaus","216","4 star rating","(718) 816-7461","Medium","German、 Bars","West Brighton","817 Castleton Ave","Staten Island","12:00 PM - 2:00 AM (Next day)","Delivery","true","false"
"Js On The Bay","217","4 star rating","(718) 720-0922","Medium","Breakfast & Brunch、 Pizza、 American (Traditional)","Shore Acres","1189 Bay St","Staten Island","7:00 AM - 8:00 PM","Delivery、Takeout","true","true"
"Buffalo Wild Wings","234","2.5 star rating","(718) 983-6912","Medium","Chicken Wings、 Sports Bars、 American (Traditional)","Bullshead","1447 Richmond Ave","Staten Island","11:00 AM - 11:00 PM","Unknown","false","false"
"The Original Goodfella’s Brick Oven Pizza","266","4 star rating","(718) 987-2422","Medium","Pizza、 Italian、 Bars","Dongan Hills","1718 Hylan Blvd","Staten Island","11:30 AM - 10:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Angelina’s Kitchen","233","3.5 star rating","(718) 698-2000","Medium","Italian","Heartland Village","280 Marsh Ave","Staten Island","12:00 PM - 9:00 PM","Delivery、Takeout","true","true"
"Campania Coal Fired Pizza","225","4 star rating","(718) 227-3286","Medium","Pizza、 Italian","Eltingville","3900 Richmond Ave","Staten Island","12:00 PM - 10:00 PM","Unknown","false","false"
"Bruno’s Bakery And Restaurant","226","3.5 star rating","(718) 987-5859","Medium","Bakeries、 Breakfast & Brunch、 Pizza","Dongan Hills","1650 Hylan Blvd","Staten Island","8:00 AM - 5:00 PM","Delivery、Takeout、Curbside pickup","true","true"
"Burrito Bar and Restaurant","217","3 star rating","(718) 815-9200","Medium","Mexican、 Bars","West Brighton","585 Forest Ave","Staten Island","11:30 AM - 8:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Incas Grill Peruvian kitchen","270","4 star rating","(718) 448-0488","Medium","Peruvian","Grant City","126 Lincoln Ave","Staten Island","12:00 PM - 9:00 PM","Delivery、Takeout","true","true"
"Violette’s Cellar","271","4 star rating","(718) 650-5050","Medium","Breakfast & Brunch、 Tapas/Small Plates、 Speakeasies","Grant City","2271 Hylan Blvd","Staten Island","11:00 AM - 8:00 PM","Delivery、Takeout、Sit-down dining","true","true"
"Corner House BBQ","273","4 star rating","(718) 987-1227","Medium","Barbeque、 Cocktail Bars","Grant City","102 Lincoln Ave","Staten Island","12:00 PM - 8:00 PM","Unknown","false","false"
"Pho Mac Vietnamese Restaurant","298","4 star rating","(718) 982-9292","Medium","Vietnamese","Bullshead","1407 Richmond Ave","Staten Island","11:30 AM - 8:45 PM","Outdoor seating、Delivery、Takeout","true","true"
"Marina Cafe","288","3 star rating","(718) 967-3077","Medium","Italian、 Seafood、 Lounges","Great Kills","154 Mansion Ave","Staten Island","12:00 PM - 1:00 AM (Next day)","Unknown","false","false"
"West Shore Inn Steakhouse","282","4 star rating","(718) 698-9722","Medium","Steakhouses、 Seafood、 American (Traditional)","Chelsea","3955 Victory Blvd","Staten Island","12:00 PM - 10:00 PM","Takeout","false","true"
"Ho’Brah a taco joint","311","3.5 star rating","(718) 442-8226","Medium","Mexican、 Hawaiian","West Brighton","412 Forest Ave","Staten Island","12:00 PM - 9:00 PM","Takeout","false","true"
"The Hop Shoppe","294","4 star rating","(718) 448-3400","Medium","Gastropubs、 American (Traditional)、 Sports Bars","Stapleton","372 VanDuzer St","Staten Island","11:00 AM - 4:00 AM (Next day)","Delivery、Takeout","true","true"
"Piece A Cake","312","4 star rating","(718) 980-2253","Medium","Bakeries、 Coffee & Tea、 Breakfast & Brunch","New Dorp","177 New Dorp Ln","Staten Island","8:00 AM - 8:00 PM","Outdoor seating、Delivery、Takeout、Covered outdoor seating、Sit-down dining、DIY meal kits、Heated outdoor seating、Indoor dining、Curbside pickup、Private dining","true","true"
"Beans and Leaves","323","4.5 star rating","(718) 448-0276","Low","Coffee & Tea、 Breakfast & Brunch、 Cafes","West Brighton","422 Forest Ave","Staten Island","7:00 AM - 4:00 PM","Delivery、Takeout","true","true"
"Pizzeria Giove","325","4 star rating","(347) 286-0635","Medium","Italian","New Dorp","278 New Dorp Ln","Staten Island","12:30 PM - 10:30 PM","Unknown","false","false"
"Lakruwana Restaurant","333","4.5 star rating","(347) 857-6619","Medium","Sri Lankan","Stapleton","668 Bay St","Staten Island","12:00 PM - 10:00 PM","Delivery、Takeout、Sit-down dining","true","true"
"Craft House","335","4.5 star rating","(718) 442-3433","Medium","Bars、 Barbeque","Tompkinsville","60 Vanduzer St","Staten Island","2:00 PM - 10:00 PM","Delivery、Takeout","true","true"
"Blue","344","4 star rating","(718) 273-7777","High","Mediterranean、 Seafood、 Asian Fusion","Randall Manor","1115 Richmond Ter","Staten Island","11:30 AM - 10:00 PM","Outdoor seating、Delivery、Takeout、Curbside pickup","true","true"
"Miller’s Ale House - Staten Island","348","3 star rating","(718) 477-0112","Medium","Seafood、 American (Traditional)、 Sports Bars","Heartland Village","2883 Richmond Ave","Staten Island","11:30 AM - 11:00 PM","Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Hook & Reel Cajun Seafood & Bar","357","4 star rating","(718) 351-3164","High","Cajun/Creole、 Seafood","New Dorp","2590 Hylan Blvd","Staten Island","12:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Indoor dining、Curbside pickup","true","true"
"Beso","541","4 star rating","(718) 816-8162","Medium","Spanish、 Tapas Bars、 Bars","St. George","11 Schuyler St","Staten Island","12:00 PM - 10:00 PM","Outdoor seating、Delivery、Takeout、Sit-down dining、Curbside pickup","true","true"
"Patrizia’s of Staten Island","566","4 star rating","(718) 317-6600","High","Italian、 Pizza","Great Kills","4255 Amboy Rd","Staten Island","12:00 PM - 9:00 PM","Delivery、Takeout、Curbside pickup","true","true"
